Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     9.3960     0.1893     5.0000     7.0000    11.0000    93.0000
 1.900 0.100     9.9375     0.2064     5.0000     8.0000    12.0000   105.0000
 1.800 0.100    10.6575     0.2064     5.0000     8.0000    13.0000    86.0000
 1.700 0.100    11.4910     0.2053     6.0000     9.0000    14.0000    80.0000
 1.600 0.100    12.5695     0.2333     6.0000    10.0000    15.0000   111.0000
 1.500 0.100    13.6375     0.2345     7.0000    11.0000    17.0000   102.0000
 1.400 0.100    14.8840     0.2628     7.0000    12.0000    19.0000   142.0000
 1.300 0.100    16.5895     0.2835     8.0000    13.0000    21.0000    95.0000
 1.200 0.100    18.5340     0.3036    10.0000    15.0000    23.0000   108.0000
 1.100 0.100    21.1125     0.3672    10.0000    17.0000    27.0000   138.0000
 1.000 0.100    26.5800     0.4527    13.0000    22.0000    35.0000   188.0000
 0.900 0.100    31.0880     0.5427    15.0000    26.0000    40.0000   277.0000
 0.800 0.100    39.3305     0.7016    17.0000    32.0000    52.0000   217.0000
 0.700 0.100    52.4925     0.9581    22.0000    41.0000    70.0000   424.0000
 0.600 0.100    71.8265     1.4462    28.0000    54.0000    96.0000   796.0000
 0.500 0.100    99.4350     2.0161    35.0000    76.0000   134.0000  1002.0000
 0.400 0.100   135.6470     2.9534    41.0000    96.0000   189.0000  1037.0000
 0.300 0.100   164.4765     3.5433    51.0000   120.0000   224.0000   980.0000
 0.200 0.100   180.2435     3.9498    53.0000   125.0000   252.0000  1764.0000
 0.100 0.100   190.6770     4.2460    53.0000   131.0000   276.0000  1621.0000
