Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    27.1015     0.5675    10.0000    20.0000    36.0000   287.0000
 1.900 0.050    29.0690     0.5834    10.0000    22.0000    39.0000   211.0000
 1.800 0.050    31.5685     0.6721    11.0000    23.0000    41.0000   302.0000
 1.700 0.050    34.2050     0.7006    12.0000    25.0000    46.0000   232.0000
 1.600 0.050    35.8630     0.7402    13.0000    26.0000    49.0000   281.0000
 1.500 0.050    39.7585     0.8656    13.0000    28.0000    54.0000   364.0000
 1.400 0.050    43.0925     0.9084    14.0000    31.0000    58.0000   446.0000
 1.300 0.050    47.6310     1.0656    14.0000    32.0000    67.0000   458.0000
 1.200 0.050    54.1065     1.2102    17.0000    37.0000    76.0000   376.0000
 1.100 0.050    59.5915     1.2741    18.0000    42.0000    84.0000   553.0000
 1.000 0.050    62.5000     1.3540    19.0000    43.0000    87.0000   414.0000
 0.900 0.050    74.6870     1.6902    23.0000    51.0000    99.0000  1019.0000
 0.800 0.050    84.6485     1.8539    25.0000    59.0000   117.0000   565.0000
 0.700 0.050    99.7845     2.1845    31.0000    71.0000   137.0000   868.0000
 0.600 0.050   108.3845     2.3864    31.0000    77.0000   151.0000   845.0000
 0.500 0.050   133.2270     3.0031    40.0000    94.0000   187.0000  1403.0000
 0.400 0.050   152.9945     3.3773    47.0000   105.0000   212.0000  1234.0000
 0.300 0.050   180.2745     4.0436    52.0000   123.0000   256.0000  1386.0000
 0.200 0.050   196.2210     4.2736    59.0000   137.0000   273.0000  1307.0000
 0.100 0.050   200.4825     4.5776    55.0000   135.0000   282.0000  1647.0000
