Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    31.9230     0.7337    10.0000    21.0000    43.0000   267.0000
 1.900 0.050    32.3135     0.6800    10.0000    23.0000    45.0000   252.0000
 1.800 0.050    35.9365     0.7936    11.0000    24.0000    50.0000   287.0000
 1.700 0.050    37.4955     0.8427    12.0000    26.0000    51.0000   408.0000
 1.600 0.050    38.0045     0.8235    12.0000    26.0000    52.0000   342.0000
 1.500 0.050    41.1910     0.8919    13.0000    28.0000    55.0000   331.0000
 1.400 0.050    44.0775     0.8944    15.0000    31.0000    61.0000   380.0000
 1.300 0.050    46.4705     1.0266    15.0000    34.0000    60.0000   515.0000
 1.200 0.050    50.8955     1.0561    18.0000    37.0000    69.0000   402.0000
 1.100 0.050    54.6395     1.1221    19.0000    41.0000    73.0000   394.0000
 1.000 0.050    61.6025     1.2922    22.0000    45.0000    82.0000   495.0000
 0.900 0.050    69.3225     1.4303    26.0000    50.0000    93.0000   506.0000
 0.800 0.050    79.1290     1.6073    29.0000    58.0000   108.0000   608.0000
 0.700 0.050   104.0215     2.1723    36.0000    74.0000   141.0000   688.0000
 0.600 0.050   125.3770     2.6049    43.0000    92.0000   173.0000   993.0000
 0.500 0.050   147.3830     3.2229    47.0000   107.0000   201.0000  1222.0000
 0.400 0.050   171.2710     3.7833    48.0000   121.0000   239.0000  1395.0000
 0.300 0.050   175.8325     3.8674    51.0000   122.0000   248.0000  1289.0000
 0.200 0.050   180.8990     4.0955    50.0000   126.0000   250.0000  2000.0000
 0.100 0.050   197.1470     4.3852    57.0000   133.0000   279.0000  1367.0000
