Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.568624      134.201000        428.7552
      3.679844      207.977500        659.5168
      3.624234      164.411000        526.3735
      3.652039      182.055500        595.7398
      3.665942      192.470500        610.5399
      3.672893      190.081000        603.0939
      3.676369      195.164500        621.9276
      3.678107      204.126000        647.4251
      3.677238      204.833000        649.0040
      3.676803      204.359000        648.9338
      3.676586      202.601000        644.4192
 Final Limit:   3.67658606004726       ARL:   202.601000000000     
