Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.604734      152.231500        410.5919
      3.722631      241.298500        653.6621
      3.663682      183.604500        496.3317
      3.693156      213.259500        579.4616
      3.678419      195.063000        526.8259
      3.685788      206.322000        556.9830
      3.682104      208.391500        563.4559
      3.680261      203.327500        549.7939
      3.679340      198.668500        537.3631
 Final Limit:   3.67934031566983       ARL:   198.668500000000     
