Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.681141      170.102500        711.4861
      3.812439      264.523500       1111.5793
      3.746790      215.946000        902.1528
      3.713965      192.753500        812.2377
      3.730378      203.652000        849.8355
      3.722172      195.600000        813.8399
      3.726275      203.375000        849.7573
      3.724223      204.049000        872.3953
      3.723197      204.235000        887.9235
      3.722684      199.786000        868.5575
 Final Limit:   3.72268440453978       ARL:   199.786000000000     
