Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.705780      208.621000        929.3725
      3.576833      132.556000        591.0627
      3.641307      164.396500        730.0924
      3.673543      180.118000        799.3126
      3.689662      189.769500        844.8598
      3.697721      196.532000        872.8025
      3.701750      204.506000        913.5558
      3.699736      196.171500        874.7609
      3.700743      205.267500        913.3967
      3.700239      193.161500        859.6009
      3.700491      195.313500        869.2028
      3.700617      192.821500        873.1795
      3.700680      203.768500        917.4656
      3.700649      198.947000        898.7991
 Final Limit:   3.70064854405252       ARL:   198.947000000000     
