Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.626029      145.097500        529.2876
      3.743065      220.163500        810.2694
      3.684547      174.781500        649.5463
      3.713806      206.131000        761.3686
      3.699177      180.118500        656.2968
      3.706491      182.173500        664.1063
      3.710149      189.958000        693.8623
      3.711977      196.032500        716.7588
      3.712892      193.391500        706.6131
      3.713349      190.877500        693.0104
      3.713577      189.242000        689.3319
      3.713692      193.190000        705.7576
      3.713749      188.777000        690.8742
      3.713777      201.496500        735.5969
 Final Limit:   3.71377748004136       ARL:   201.496500000000     
