Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.614607      137.327500        445.3084
      3.736938      207.694500        677.3483
      3.675772      157.641000        509.8023
      3.706355      188.653500        619.7538
      3.721646      187.850500        610.3234
      3.729292      192.021000        621.8209
      3.733115      195.593500        631.4021
      3.735026      207.792000        673.0757
      3.734070      194.781500        632.2360
      3.734548      205.473000        663.9053
      3.734309      213.252500        689.6926
      3.734190      200.467500        646.7188
 Final Limit:   3.73418989965695       ARL:   200.467500000000     
