Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.586689      122.690000        421.3663
      3.693165      180.811500        620.6901
      3.746403      221.067000        759.0371
      3.719784      191.513000        658.4274
      3.733093      203.347500        700.4899
      3.726439      193.548500        665.9324
      3.729766      193.439500        664.8101
      3.731430      207.934500        714.1533
      3.730598      202.371000        697.2269
 Final Limit:   3.73059795699089       ARL:   202.371000000000     
