Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.6964     0.0919     2.0000     4.0000     9.0000    76.0000     0.0000
 2.000 0.180     7.8114     0.1048     3.0000     5.0000    11.0000    81.0000     0.0000
 2.000 0.160     9.4100     0.1259     3.0000     7.0000    13.0000    89.0000     0.0000
 2.000 0.140    11.2294     0.1487     4.0000     8.0000    16.0000    85.0000     0.0000
 2.000 0.120    13.5628     0.1723     4.0000    10.0000    19.0000   126.0000     0.0000
 2.000 0.100    16.9340     0.2163     5.0000    13.0000    24.0000   142.0000     0.0000
 2.000 0.080    23.3774     0.2907     8.0000    18.0000    33.0000   168.0000     0.0000
 2.000 0.060    34.6186     0.4328    12.0000    27.0000    49.0000   304.0000     0.0000
 2.000 0.040    59.7272     0.8084    20.0000    44.0000    81.0000   543.0000     0.0000
 2.000 0.020   126.7644     1.7921    38.0000    88.0000   174.0000  1074.0000     0.0000
 1.800 0.200     7.3818     0.1033     2.0000     5.0000    10.0000    93.0000     0.0000
 1.800 0.180     8.5350     0.1144     3.0000     6.0000    11.0000    72.0000     0.0000
 1.800 0.160     9.7374     0.1280     3.0000     7.0000    13.0000    89.0000     0.0000
 1.800 0.140    11.7652     0.1562     4.0000     8.0000    16.0000    89.0000     0.0000
 1.800 0.120    14.7588     0.1941     5.0000    11.0000    21.0000   135.0000     0.0000
 1.800 0.100    18.7894     0.2410     6.0000    14.0000    27.0000   153.0000     0.0000
 1.800 0.080    25.3374     0.3300     8.0000    19.0000    35.0000   308.0000     0.0000
 1.800 0.060    38.2594     0.5129    13.0000    29.0000    51.0000   420.0000     0.0000
 1.800 0.040    64.9126     0.8607    21.0000    49.0000    91.0000   535.0000     0.0000
 1.800 0.020   128.9792     1.8457    39.0000    90.0000   176.0000   989.0000     0.0000
 1.600 0.200     7.9988     0.1102     3.0000     5.0000    10.0000    82.0000     0.0000
 1.600 0.180     9.1048     0.1209     3.0000     6.0000    12.0000    63.0000     0.0000
 1.600 0.160    11.1024     0.1462     4.0000     8.0000    15.0000   100.0000     0.0000
 1.600 0.140    13.1772     0.1765     4.0000     9.0000    18.0000   159.0000     0.0000
 1.600 0.120    16.1922     0.2101     5.0000    12.0000    23.0000   141.0000     0.0000
 1.600 0.100    21.0356     0.2755     7.0000    15.0000    29.0000   189.0000     0.0000
 1.600 0.080    28.1192     0.3710     9.0000    21.0000    39.0000   232.0000     0.0000
 1.600 0.060    42.5890     0.5607    14.0000    32.0000    59.0000   436.0000     0.0000
 1.600 0.040    70.7160     0.9365    22.0000    53.0000    99.0000   555.0000     0.0000
 1.600 0.020   132.0458     1.8828    39.0000    91.0000   181.0000  1067.0000     0.0000
 1.400 0.200     9.0048     0.1218     3.0000     6.0000    12.0000    85.0000     0.0000
 1.400 0.180    10.3240     0.1395     3.0000     7.0000    14.0000   110.0000     0.0000
 1.400 0.160    12.4884     0.1678     4.0000     9.0000    17.0000   122.0000     0.0000
 1.400 0.140    14.8406     0.2046     5.0000    10.0000    21.0000   230.0000     0.0000
 1.400 0.120    18.5110     0.2527     6.0000    13.0000    26.0000   184.0000     0.0000
