Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.8896     0.0276     3.0000     4.0000     5.0000    21.0000     0.0000
 2.000 0.180     4.2794     0.0322     3.0000     4.0000     5.0000    30.0000     0.0000
 2.000 0.160     4.7884     0.0422     3.0000     4.0000     6.0000    60.0000     0.0000
 2.000 0.140     5.6120     0.0559     3.0000     5.0000     7.0000    67.0000     0.0000
 2.000 0.120     6.8576     0.0937     4.0000     5.0000     8.0000   137.0000     0.0000
 2.000 0.100     8.8694     0.1253     4.0000     6.0000    10.0000   132.0000     0.0000
 2.000 0.080    15.2638     0.2430     5.0000     9.0000    18.0000   253.0000     0.0000
 2.000 0.060    28.5360     0.4365     8.0000    17.0000    39.0000   352.0000     0.0000
 2.000 0.040    56.5786     0.8515    14.0000    37.0000    78.0000   518.0000     0.0000
 2.000 0.020   119.0436     1.7018    32.0000    82.0000   164.0000  1519.0000     0.0000
 1.800 0.200     4.3360     0.0313     3.0000     4.0000     5.0000    26.0000     0.0000
 1.800 0.180     4.7636     0.0374     3.0000     4.0000     6.0000    26.0000     0.0000
 1.800 0.160     5.3788     0.0477     3.0000     5.0000     7.0000    62.0000     0.0000
 1.800 0.140     6.1120     0.0585     3.0000     5.0000     8.0000    56.0000     0.0000
 1.800 0.120     7.7142     0.0976     4.0000     6.0000     9.0000   168.0000     0.0000
 1.800 0.100     9.9804     0.1407     5.0000     7.0000    12.0000   217.0000     0.0000
 1.800 0.080    15.6394     0.2309     6.0000    10.0000    19.0000   183.0000     0.0000
 1.800 0.060    29.7600     0.4584     8.0000    18.0000    40.0000   413.0000     0.0000
 1.800 0.040    58.1084     0.8769    15.0000    38.0000    80.0000   944.0000     0.0000
 1.800 0.020   123.9364     1.7655    34.0000    85.0000   174.0000  1362.0000     0.0000
 1.600 0.200     5.0168     0.0375     3.0000     5.0000     6.0000    32.0000     0.0000
 1.600 0.180     5.4308     0.0436     3.0000     5.0000     7.0000    28.0000     0.0000
 1.600 0.160     6.0950     0.0531     4.0000     5.0000     8.0000    53.0000     0.0000
 1.600 0.140     7.0300     0.0670     4.0000     6.0000     9.0000    64.0000     0.0000
 1.600 0.120     8.6592     0.1007     5.0000     7.0000    11.0000    97.0000     0.0000
 1.600 0.100    11.4078     0.1511     5.0000     8.0000    14.0000   176.0000     0.0000
 1.600 0.080    17.2134     0.2467     7.0000    12.0000    21.0000   176.0000     0.0000
 1.600 0.060    31.5924     0.4781     9.0000    20.0000    42.0000   311.0000     0.0000
 1.600 0.040    61.6176     0.9183    16.0000    40.0000    86.0000   708.0000     0.0000
 1.600 0.020   125.0774     1.8041    36.0000    87.0000   170.0000  1250.0000     0.0000
 1.400 0.200     5.7884     0.0455     4.0000     5.0000     7.0000    39.0000     0.0000
 1.400 0.180     6.4666     0.0553     4.0000     6.0000     8.0000    53.0000     0.0000
 1.400 0.160     7.1562     0.0634     4.0000     6.0000     9.0000    49.0000     0.0000
 1.400 0.140     8.2106     0.0828     5.0000     7.0000    10.0000    91.0000     0.0000
 1.400 0.120    10.1598     0.1108     5.0000     8.0000    13.0000   111.0000     0.0000
 1.400 0.100    13.0896     0.1686     6.0000    10.0000    16.0000   287.0000     0.0000
 1.400 0.080    20.2098     0.2841     8.0000    14.0000    25.0000   234.0000     0.0000
 1.400 0.060    35.9870     0.5310    11.0000    23.0000    48.0000   532.0000     0.0000
 1.400 0.040    67.9046     0.9985    18.0000    45.0000    93.0000   644.0000     0.0000
 1.400 0.020   129.5732     1.8181    38.0000    90.0000   181.0000  1324.0000     0.0000
 1.200 0.200     7.0820     0.0584     4.0000     6.0000     9.0000    53.0000     0.0000
 1.200 0.180     7.7000     0.0661     5.0000     7.0000    10.0000    44.0000     0.0000
 1.200 0.160     8.7472     0.0795     5.0000     8.0000    11.0000    51.0000     0.0000
 1.200 0.140    10.2388     0.1000     6.0000     9.0000    13.0000   107.0000     0.0000
 1.200 0.120    12.4592     0.1417     6.0000    10.0000    16.0000   128.0000     0.0000
 1.200 0.100    16.1348     0.2113     7.0000    12.0000    20.0000   203.0000     0.0000
 1.200 0.080    23.6074     0.3209     9.0000    16.0000    30.0000   254.0000     0.0000
 1.200 0.060    40.0470     0.5925    13.0000    26.0000    52.0000   396.0000     0.0000
 1.200 0.040    73.1554     1.0322    21.0000    50.0000   102.0000   685.0000     0.0000
 1.200 0.020   134.6762     1.8911    38.0000    95.0000   187.0000  1318.0000     0.0000
 1.000 0.200     9.0726     0.0785     5.0000     8.0000    12.0000    67.0000     0.0000
 1.000 0.180    10.1028     0.0914     6.0000     9.0000    13.0000    63.0000     0.0000
 1.000 0.160    11.5330     0.1118     6.0000    10.0000    15.0000    81.0000     0.0000
 1.000 0.140    13.2692     0.1419     7.0000    11.0000    17.0000   229.0000     0.0000
 1.000 0.120    16.2536     0.1868     8.0000    13.0000    20.0000   159.0000     0.0000
 1.000 0.100    20.4078     0.2451     9.0000    16.0000    26.0000   185.0000     0.0000
 1.000 0.080    29.8376     0.3997    12.0000    21.0000    39.0000   316.0000     0.0000
 1.000 0.060    47.0800     0.6691    15.0000    32.0000    63.0000   582.0000     0.0000
 1.000 0.040    81.6106     1.1478    25.0000    57.0000   111.0000   861.0000     0.0000
 1.000 0.020   146.5688     2.1084    41.0000   101.0000   204.0000  1267.0000     0.0000
 0.800 0.200    12.7934     0.1194     7.0000    11.0000    17.0000    88.0000     0.0000
 0.800 0.180    14.3150     0.1378     8.0000    12.0000    19.0000   106.0000     0.0000
 0.800 0.160    16.0382     0.1594     8.0000    14.0000    21.0000   124.0000     0.0000
 0.800 0.140    18.9434     0.1981     9.0000    16.0000    25.0000   119.0000     0.0000
 0.800 0.120    22.5854     0.2442    11.0000    18.0000    30.0000   196.0000     0.0000
 0.800 0.100    28.4066     0.3306    13.0000    22.0000    37.0000   226.0000     0.0000
 0.800 0.080    39.6390     0.4975    16.0000    30.0000    52.0000   397.0000     0.0000
 0.800 0.060    61.5680     0.8352    21.0000    44.0000    82.0000   596.0000     0.0000
 0.800 0.040    98.2366     1.3766    30.0000    69.0000   134.0000   954.0000     0.0000
 0.800 0.020   154.8818     2.2264    45.0000   105.0000   217.0000  1965.0000     0.0000
 0.600 0.200    22.0320     0.2281    11.0000    18.0000    29.0000   164.0000     0.0000
 0.600 0.180    24.1310     0.2554    12.0000    20.0000    32.0000   184.0000     0.0000
 0.600 0.160    27.9258     0.3078    13.0000    22.0000    37.0000   184.0000     0.0000
 0.600 0.140    31.9690     0.3559    15.0000    26.0000    42.0000   283.0000     0.0000
 0.600 0.120    38.3208     0.4517    16.0000    30.0000    50.0000   400.0000     0.0000
 0.600 0.100    47.5082     0.5747    20.0000    37.0000    63.0000   555.0000     0.0000
 0.600 0.080    62.4996     0.8057    24.0000    47.0000    84.0000   531.0000     0.0000
 0.600 0.060    85.0258     1.1074    30.0000    63.0000   118.0000   765.0000     0.0000
 0.600 0.040   122.6244     1.6536    39.0000    88.0000   170.0000  1110.0000     0.0000
 0.600 0.020   173.3104     2.4844    49.0000   119.0000   240.0000  1549.0000     0.0000
 0.400 0.200    49.4010     0.6129    20.0000    38.0000    65.0000   482.0000     0.0000
 0.400 0.180    56.0290     0.7153    22.0000    42.0000    75.0000   638.0000     0.0000
 0.400 0.160    63.1988     0.8020    24.0000    48.0000    85.0000   670.0000     0.0000
 0.400 0.140    70.6010     0.9314    25.0000    52.0000    95.0000   684.0000     0.0000
 0.400 0.120    82.7744     1.0720    29.0000    60.0000   113.0000   556.0000     0.0000
 0.400 0.100    96.9928     1.2871    32.0000    70.0000   133.0000   681.0000     0.0000
 0.400 0.080   120.3910     1.6385    39.0000    86.0000   166.0000  1077.0000     0.0000
 0.400 0.060   140.7792     1.9422    44.0000   101.0000   192.0000  1326.0000     0.0000
 0.400 0.040   166.4354     2.3020    51.0000   116.0000   230.0000  1495.0000     0.0000
 0.400 0.020   190.2788     2.6396    56.0000   134.0000   270.0000  1750.0000     0.0000
 0.200 0.200   140.1022     1.9560    43.0000    97.0000   193.0000  1075.0000     0.0000
 0.200 0.180   148.9828     2.1651    43.0000   100.0000   205.0000  1462.0000     0.0000
 0.200 0.160   154.8434     2.2048    45.0000   106.0000   216.0000  1508.0000     0.0000
 0.200 0.140   164.9212     2.2821    50.0000   115.0000   226.0000  1364.0000     0.0000
 0.200 0.120   164.5064     2.2945    51.0000   117.0000   223.0000  1352.0000     0.0000
 0.200 0.100   176.3410     2.5189    51.0000   121.0000   243.0000  1528.0000     0.0000
 0.200 0.080   180.6624     2.5555    52.0000   125.0000   251.0000  1610.0000     0.0000
 0.200 0.060   188.6310     2.6483    55.0000   132.0000   263.0000  1737.0000     0.0000
 0.200 0.040   194.1086     2.7772    55.0000   132.0000   270.0000  2000.0000     0.0000
 0.200 0.020   197.7958     2.7860    57.0000   138.0000   273.0000  1940.0000     0.0000
