Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.3116     0.0334     3.0000     4.0000     5.0000    33.0000     0.0000
 2.000 0.180     4.7258     0.0394     3.0000     4.0000     6.0000    39.0000     0.0000
 2.000 0.160     5.3640     0.0497     3.0000     5.0000     7.0000    55.0000     0.0000
 2.000 0.140     6.3034     0.0684     4.0000     5.0000     7.0000    89.0000     0.0000
 2.000 0.120     7.9958     0.1094     4.0000     6.0000     9.0000   147.0000     0.0000
 2.000 0.100    11.0862     0.1565     5.0000     7.0000    13.0000   151.0000     0.0000
 2.000 0.080    17.4112     0.2666     6.0000    11.0000    22.0000   203.0000     0.0000
 2.000 0.060    29.8852     0.4504     8.0000    19.0000    41.0000   309.0000     0.0000
 2.000 0.040    53.6000     0.7927    14.0000    35.0000    74.0000   494.0000     0.0000
 2.000 0.020   116.4196     1.6424    33.0000    82.0000   161.0000  1058.0000     0.0000
 1.800 0.200     4.9878     0.0388     3.0000     4.0000     6.0000    48.0000     0.0000
 1.800 0.180     5.4408     0.0467     3.0000     5.0000     7.0000    82.0000     0.0000
 1.800 0.160     6.1338     0.0602     4.0000     5.0000     7.0000    61.0000     0.0000
 1.800 0.140     7.2558     0.0835     4.0000     6.0000     9.0000   127.0000     0.0000
 1.800 0.120     9.1222     0.1207     5.0000     7.0000    11.0000   199.0000     0.0000
 1.800 0.100    12.5846     0.1757     5.0000     9.0000    15.0000   174.0000     0.0000
 1.800 0.080    19.4152     0.2820     7.0000    13.0000    25.0000   271.0000     0.0000
 1.800 0.060    30.9308     0.4492     9.0000    20.0000    41.0000   326.0000     0.0000
 1.800 0.040    58.4744     0.8394    16.0000    39.0000    81.0000   433.0000     0.0000
 1.800 0.020   116.1478     1.6240    33.0000    83.0000   163.0000  1309.0000     0.0000
 1.600 0.200     5.9228     0.0471     4.0000     5.0000     7.0000    52.0000     0.0000
 1.600 0.180     6.4976     0.0543     4.0000     6.0000     8.0000    52.0000     0.0000
 1.600 0.160     7.2778     0.0688     4.0000     6.0000     9.0000    81.0000     0.0000
 1.600 0.140     8.4326     0.0855     5.0000     7.0000    10.0000    79.0000     0.0000
 1.600 0.120    10.4032     0.1177     5.0000     8.0000    13.0000   111.0000     0.0000
 1.600 0.100    14.1038     0.1879     6.0000    10.0000    17.0000   146.0000     0.0000
 1.600 0.080    20.9682     0.2876     8.0000    14.0000    27.0000   208.0000     0.0000
 1.600 0.060    33.5678     0.4723    11.0000    22.0000    45.0000   337.0000     0.0000
 1.600 0.040    61.7466     0.8865    17.0000    42.0000    85.0000   541.0000     0.0000
 1.600 0.020   121.3912     1.7267    35.0000    83.0000   170.0000  1483.0000     0.0000
 1.400 0.200     7.3238     0.0557     5.0000     7.0000     9.0000    39.0000     0.0000
 1.400 0.180     8.0222     0.0643     5.0000     7.0000    10.0000    66.0000     0.0000
 1.400 0.160     9.1134     0.0827     5.0000     8.0000    11.0000    98.0000     0.0000
 1.400 0.140    10.2862     0.1019     6.0000     9.0000    13.0000   112.0000     0.0000
 1.400 0.120    12.2502     0.1342     6.0000    10.0000    15.0000   117.0000     0.0000
 1.400 0.100    16.1728     0.2068     7.0000    12.0000    20.0000   179.0000     0.0000
 1.400 0.080    23.8850     0.3212     9.0000    17.0000    31.0000   222.0000     0.0000
