Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.9450     0.0532     2.0000     3.0000     5.0000    23.0000     0.0000
 2.000 0.180     4.2605     0.0572     2.0000     4.0000     5.0000    21.0000     0.0000
 2.000 0.160     4.6745     0.0628     3.0000     4.0000     6.0000    23.0000     0.0000
 2.000 0.140     5.4755     0.0777     3.0000     5.0000     7.0000    27.0000     0.0000
 2.000 0.120     6.4970     0.0988     3.0000     5.0000     8.0000    33.0000     0.0000
 2.000 0.100     8.1325     0.1300     4.0000     7.0000    11.0000    66.0000     0.0000
 2.000 0.080    10.5720     0.1799     5.0000     9.0000    14.0000    74.0000     0.0000
 2.000 0.060    16.1395     0.2934     7.0000    13.0000    21.0000   110.0000     0.0000
 2.000 0.040    29.9625     0.6064    11.0000    22.0000    41.0000   247.0000     0.0000
 2.000 0.020    85.6350     1.8398    26.0000    59.0000   120.0000   670.0000     0.0000
 1.800 0.200     4.3560     0.0570     3.0000     4.0000     6.0000    25.0000     0.0000
 1.800 0.180     4.8060     0.0660     3.0000     4.0000     6.0000    29.0000     0.0000
 1.800 0.160     5.5770     0.0777     3.0000     5.0000     7.0000    30.0000     0.0000
 1.800 0.140     6.1825     0.0883     3.0000     5.0000     8.0000    29.0000     0.0000
 1.800 0.120     7.5125     0.1168     4.0000     6.0000    10.0000    48.0000     0.0000
 1.800 0.100     9.2770     0.1477     5.0000     8.0000    12.0000    66.0000     0.0000
 1.800 0.080    12.4985     0.2318     5.0000    10.0000    16.0000   128.0000     0.0000
 1.800 0.060    18.2430     0.3466     8.0000    14.0000    24.0000   122.0000     0.0000
 1.800 0.040    34.6455     0.7077    12.0000    26.0000    46.0000   260.0000     0.0000
 1.800 0.020    94.2585     2.0698    29.0000    66.0000   129.0000   790.0000     0.0000
 1.600 0.200     5.0590     0.0698     3.0000     4.0000     6.0000    24.0000     0.0000
 1.600 0.180     5.8190     0.0829     3.0000     5.0000     7.0000    52.0000     0.0000
 1.600 0.160     6.3170     0.0910     3.0000     5.0000     8.0000    40.0000     0.0000
 1.600 0.140     7.3435     0.1158     4.0000     6.0000     9.0000    56.0000     0.0000
 1.600 0.120     8.8970     0.1388     5.0000     7.0000    12.0000    47.0000     0.0000
 1.600 0.100    11.0155     0.1900     5.0000     9.0000    14.0000    75.0000     0.0000
 1.600 0.080    14.4605     0.2557     6.0000    11.0000    19.0000    89.0000     0.0000
 1.600 0.060    22.8595     0.4413     9.0000    17.0000    30.0000   153.0000     0.0000
 1.600 0.040    41.0515     0.8539    15.0000    30.0000    56.0000   432.0000     0.0000
 1.600 0.020   106.2070     2.2165    33.0000    76.0000   152.0000   669.0000     0.0000
 1.400 0.200     6.0300     0.0858     3.0000     5.0000     8.0000    34.0000     0.0000
 1.400 0.180     6.8240     0.1010     4.0000     6.0000     9.0000    35.0000     0.0000
 1.400 0.160     7.6270     0.1138     4.0000     6.0000    10.0000    42.0000     0.0000
 1.400 0.140     8.9045     0.1426     4.0000     7.0000    11.0000    51.0000     0.0000
 1.400 0.120    10.6520     0.1731     5.0000     9.0000    14.0000   101.0000     0.0000
 1.400 0.100    13.7415     0.2401     7.0000    11.0000    18.0000    88.0000     0.0000
 1.400 0.080    17.6495     0.3341     7.0000    13.0000    24.0000   112.0000     0.0000
 1.400 0.060    27.7885     0.5545    11.0000    20.0000    37.0000   211.0000     0.0000
 1.400 0.040    47.9280     0.9906    16.0000    35.0000    66.0000   414.0000     0.0000
 1.400 0.020   114.0350     2.5194    33.0000    79.0000   154.0000  1052.0000     0.0000
 1.200 0.200     7.4445     0.1091     4.0000     6.0000    10.0000    50.0000     0.0000
 1.200 0.180     8.0580     0.1217     4.0000     7.0000    10.0000    37.0000     0.0000
 1.200 0.160     9.5260     0.1456     5.0000     8.0000    13.0000    43.0000     0.0000
 1.200 0.140    10.7960     0.1723     5.0000     9.0000    14.0000    65.0000     0.0000
 1.200 0.120    13.6100     0.2468     6.0000    11.0000    18.0000   121.0000     0.0000
 1.200 0.100    16.9290     0.2985     8.0000    13.0000    22.0000   130.0000     0.0000
 1.200 0.080    22.9550     0.4654     9.0000    17.0000    30.0000   210.0000     0.0000
 1.200 0.060    35.4505     0.6940    14.0000    27.0000    48.0000   306.0000     0.0000
 1.200 0.040    60.2995     1.3282    20.0000    43.0000    82.0000   753.0000     0.0000
 1.200 0.020   125.2785     2.7425    39.0000    92.0000   172.0000   921.0000     0.0000
