Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.4330     0.1351     2.0000     4.0000     8.0000    52.0000     0.0000
 2.000 0.180     7.2325     0.1518     2.0000     5.0000    10.0000    56.0000     0.0000
 2.000 0.160     8.6600     0.1771     3.0000     6.0000    11.0000    67.0000     0.0000
 2.000 0.140    10.3835     0.2159     3.0000     7.0000    15.0000    75.0000     0.0000
 2.000 0.120    12.5435     0.2688     4.0000     9.0000    17.0000   164.0000     0.0000
 2.000 0.100    16.0330     0.3167     5.0000    12.0000    23.0000   110.0000     0.0000
 2.000 0.080    22.1885     0.4839     7.0000    17.0000    30.0000   391.0000     0.0000
 2.000 0.060    34.6770     0.7175    11.0000    27.0000    48.0000   319.0000     0.0000
 2.000 0.040    63.8280     1.3509    21.0000    47.0000    88.0000   447.0000     0.0000
 2.000 0.020   127.9325     2.7954    38.0000    88.0000   177.0000  1030.0000     0.0000
 1.800 0.200     6.9155     0.1438     2.0000     5.0000     9.0000    57.0000     0.0000
 1.800 0.180     8.1330     0.1653     3.0000     6.0000    11.0000    70.0000     0.0000
 1.800 0.160     8.6625     0.1732     3.0000     6.0000    12.0000    67.0000     0.0000
 1.800 0.140    11.0550     0.2265     4.0000     8.0000    15.0000    91.0000     0.0000
 1.800 0.120    14.1520     0.2917     5.0000    10.0000    19.0000   115.0000     0.0000
 1.800 0.100    17.1280     0.3383     6.0000    13.0000    23.0000   114.0000     0.0000
 1.800 0.080    23.8800     0.4822     8.0000    18.0000    33.0000   161.0000     0.0000
 1.800 0.060    38.3205     0.7969    12.0000    28.0000    52.0000   297.0000     0.0000
 1.800 0.040    64.1960     1.4110    20.0000    46.0000    88.0000   557.0000     0.0000
 1.800 0.020   122.8365     2.6893    34.0000    87.0000   176.0000   882.0000     0.0000
 1.600 0.200     7.4710     0.1560     3.0000     5.0000    10.0000    85.0000     0.0000
 1.600 0.180     8.6655     0.1688     3.0000     6.0000    12.0000    54.0000     0.0000
 1.600 0.160    10.0210     0.2057     3.0000     7.0000    14.0000    87.0000     0.0000
 1.600 0.140    11.7035     0.2398     4.0000     8.0000    17.0000    93.0000     0.0000
 1.600 0.120    15.2210     0.3101     5.0000    11.0000    21.0000   100.0000     0.0000
 1.600 0.100    20.0060     0.4154     7.0000    15.0000    27.0000   158.0000     0.0000
 1.600 0.080    27.5840     0.5773     9.0000    20.0000    37.0000   199.0000     0.0000
 1.600 0.060    41.1650     0.9022    12.0000    29.0000    55.0000   331.0000     0.0000
