Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.1150     0.0914     2.0000     4.0000     7.0000    34.0000     0.0000
 2.000 0.180     5.6610     0.1064     2.0000     4.0000     7.0000    39.0000     0.0000
 2.000 0.160     6.5410     0.1170     3.0000     5.0000     9.0000    34.0000     0.0000
 2.000 0.140     7.6995     0.1456     3.0000     6.0000    10.0000    52.0000     0.0000
 2.000 0.120     9.2735     0.1688     4.0000     7.0000    13.0000    53.0000     0.0000
 2.000 0.100    11.8440     0.2214     4.0000     9.0000    17.0000    86.0000     0.0000
 2.000 0.080    16.1410     0.3157     6.0000    12.0000    22.0000   118.0000     0.0000
 2.000 0.060    25.2950     0.4856     9.0000    20.0000    34.0000   194.0000     0.0000
 2.000 0.040    44.3670     0.9324    14.0000    32.0000    60.0000   305.0000     0.0000
 2.000 0.020   113.7085     2.5164    34.0000    78.0000   157.0000  1296.0000     0.0000
 1.800 0.200     5.6155     0.1056     2.0000     4.0000     7.0000    38.0000     0.0000
 1.800 0.180     6.1490     0.1113     3.0000     5.0000     8.0000    34.0000     0.0000
 1.800 0.160     7.3565     0.1355     3.0000     6.0000    10.0000    46.0000     0.0000
 1.800 0.140     8.1810     0.1549     3.0000     6.0000    11.0000    65.0000     0.0000
 1.800 0.120    10.4705     0.2057     4.0000     8.0000    14.0000    88.0000     0.0000
 1.800 0.100    13.3550     0.2575     5.0000    10.0000    18.0000    88.0000     0.0000
 1.800 0.080    17.6505     0.3689     6.0000    13.0000    24.0000   175.0000     0.0000
 1.800 0.060    26.8200     0.5342     9.0000    20.0000    38.0000   167.0000     0.0000
 1.800 0.040    51.5200     1.0776    18.0000    38.0000    68.0000   367.0000     0.0000
 1.800 0.020   118.1580     2.5933    35.0000    83.0000   163.0000   962.0000     0.0000
 1.600 0.200     5.8450     0.1040     3.0000     4.0000     8.0000    36.0000     0.0000
 1.600 0.180     6.7835     0.1253     3.0000     5.0000     9.0000    59.0000     0.0000
 1.600 0.160     7.9765     0.1547     3.0000     6.0000    10.0000    66.0000     0.0000
 1.600 0.140     9.5665     0.1826     4.0000     7.0000    13.0000    65.0000     0.0000
 1.600 0.120    11.6240     0.2253     4.0000     8.0000    16.0000    87.0000     0.0000
 1.600 0.100    14.9640     0.3025     5.0000    11.0000    20.0000   113.0000     0.0000
 1.600 0.080    21.1235     0.4503     7.0000    15.0000    28.0000   151.0000     0.0000
 1.600 0.060    31.2040     0.6616    11.0000    23.0000    42.0000   265.0000     0.0000
 1.600 0.040    55.8080     1.2389    18.0000    39.0000    76.0000   627.0000     0.0000
 1.600 0.020   126.4620     2.7840    36.0000    90.0000   178.0000   916.0000     0.0000
 1.400 0.200     7.2395     0.1393     3.0000     5.0000     9.0000    59.0000     0.0000
 1.400 0.180     8.0890     0.1525     3.0000     6.0000    11.0000    45.0000     0.0000
 1.400 0.160     9.2025     0.1788     4.0000     7.0000    12.0000    67.0000     0.0000
 1.400 0.140    10.8335     0.2151     4.0000     8.0000    15.0000   104.0000     0.0000
 1.400 0.120    13.5195     0.2720     5.0000    10.0000    18.0000   135.0000     0.0000
 1.400 0.100    17.0650     0.3446     6.0000    13.0000    24.0000   195.0000     0.0000
 1.400 0.080    24.5355     0.5247     8.0000    18.0000    33.0000   236.0000     0.0000
 1.400 0.060    37.9000     0.7953    13.0000    28.0000    51.0000   296.0000     0.0000
 1.400 0.040    62.4350     1.3077    20.0000    45.0000    85.0000   396.0000     0.0000
 1.400 0.020   128.4630     2.7871    39.0000    93.0000   181.0000   984.0000     0.0000
 1.200 0.200     7.9265     0.1492     3.0000     6.0000    11.0000    59.0000     0.0000
 1.200 0.180     9.4355     0.1890     4.0000     7.0000    12.0000   101.0000     0.0000
 1.200 0.160    10.6065     0.2160     4.0000     8.0000    14.0000    99.0000     0.0000
 1.200 0.140    12.9185     0.2553     5.0000    10.0000    17.0000   118.0000     0.0000
 1.200 0.120    16.0960     0.3277     6.0000    12.0000    22.0000   141.0000     0.0000
 1.200 0.100    21.0235     0.4311     7.0000    16.0000    29.0000   202.0000     0.0000
 1.200 0.080    29.1300     0.5864    10.0000    22.0000    40.0000   182.0000     0.0000
 1.200 0.060    43.4600     0.9014    15.0000    32.0000    60.0000   350.0000     0.0000
 1.200 0.040    76.9175     1.7448    25.0000    54.0000   105.0000   640.0000     0.0000
 1.200 0.020   139.6520     3.1241    39.0000    96.0000   199.0000  1053.0000     0.0000
 1.000 0.200     9.7500     0.1820     4.0000     8.0000    13.0000    69.0000     0.0000
 1.000 0.180    11.6890     0.2311     5.0000     9.0000    15.0000    89.0000     0.0000
 1.000 0.160    14.0050     0.2841     5.0000    10.0000    18.0000   170.0000     0.0000
 1.000 0.140    16.3815     0.3246     6.0000    12.0000    21.0000   108.0000     0.0000
 1.000 0.120    20.1505     0.4115     7.0000    15.0000    27.0000   158.0000     0.0000
 1.000 0.100    25.9570     0.5535     9.0000    18.0000    35.0000   184.0000     0.0000
 1.000 0.080    36.2170     0.7778    12.0000    26.0000    50.0000   284.0000     0.0000
 1.000 0.060    55.1070     1.1972    18.0000    39.0000    75.0000   402.0000     0.0000
 1.000 0.040    89.3735     1.9444    28.0000    64.0000   121.0000   660.0000     0.0000
 1.000 0.020   146.7820     3.2698    42.0000   102.0000   205.0000  1180.0000     0.0000
 0.800 0.200    12.9760     0.2401     5.0000    10.0000    17.0000    82.0000     0.0000
 0.800 0.180    15.7615     0.3585     6.0000    12.0000    20.0000   297.0000     0.0000
 0.800 0.160    17.8850     0.3527     7.0000    13.0000    25.0000   139.0000     0.0000
 0.800 0.140    21.4225     0.4494     8.0000    16.0000    28.0000   208.0000     0.0000
 0.800 0.120    27.1895     0.5636    10.0000    20.0000    36.0000   222.0000     0.0000
 0.800 0.100    34.8090     0.7582    12.0000    26.0000    46.0000   458.0000     0.0000
 0.800 0.080    47.4225     1.0217    15.0000    32.0000    65.0000   370.0000     0.0000
 0.800 0.060    68.5365     1.5130    21.0000    48.0000    93.0000   630.0000     0.0000
 0.800 0.040   102.1325     2.3876    31.0000    68.0000   140.0000  1152.0000     0.0000
 0.800 0.020   165.7995     3.6249    46.0000   114.0000   234.0000  1292.0000     0.0000
 0.600 0.200    19.5895     0.3717     8.0000    15.0000    26.0000   168.0000     0.0000
 0.600 0.180    22.1230     0.4274     9.0000    17.0000    30.0000   216.0000     0.0000
 0.600 0.160    26.5700     0.5438    10.0000    20.0000    35.0000   199.0000     0.0000
 0.600 0.140    31.2730     0.6526    12.0000    23.0000    42.0000   289.0000     0.0000
 0.600 0.120    37.5120     0.7893    13.0000    28.0000    50.0000   362.0000     0.0000
 0.600 0.100    47.4530     0.9574    16.0000    35.0000    66.0000   336.0000     0.0000
 0.600 0.080    63.7285     1.3522    21.0000    46.0000    85.0000   616.0000     0.0000
 0.600 0.060    90.1840     1.9891    28.0000    65.0000   122.0000   888.0000     0.0000
 0.600 0.040   124.8140     2.6917    39.0000    88.0000   171.0000   919.0000     0.0000
 0.600 0.020   174.5280     3.9356    51.0000   123.0000   235.0000  1541.0000     0.0000
 0.400 0.200    34.3795     0.6881    14.0000    26.0000    45.0000   296.0000     0.0000
 0.400 0.180    39.5260     0.7828    15.0000    30.0000    52.0000   234.0000     0.0000
 0.400 0.160    45.5400     0.9568    17.0000    33.0000    61.0000   495.0000     0.0000
 0.400 0.140    53.5485     1.1276    19.0000    39.0000    73.0000   561.0000     0.0000
 0.400 0.120    64.8740     1.3648    23.0000    47.0000    88.0000   678.0000     0.0000
 0.400 0.100    79.1680     1.6362    27.0000    58.0000   108.0000   533.0000     0.0000
 0.400 0.080   101.8310     2.1442    33.0000    74.0000   141.0000   791.0000     0.0000
 0.400 0.060   123.6305     2.6673    40.0000    87.0000   171.0000   958.0000     0.0000
 0.400 0.040   155.2520     3.3659    42.0000   109.0000   221.0000  1283.0000     0.0000
 0.400 0.020   190.0325     4.3348    53.0000   128.0000   259.0000  2000.0000     0.0000
 0.200 0.200   105.4585     2.2942    33.0000    74.0000   145.0000   830.0000     0.0000
 0.200 0.180   120.1310     2.6787    34.0000    83.0000   164.0000  1033.0000     0.0000
 0.200 0.160   125.9535     2.7194    36.0000    90.0000   176.0000   876.0000     0.0000
 0.200 0.140   140.8035     3.1042    43.0000   102.0000   192.0000  1221.0000     0.0000
 0.200 0.120   151.0895     3.2557    44.0000   106.0000   209.0000  1114.0000     0.0000
 0.200 0.100   162.6135     3.5149    48.0000   117.0000   226.0000  1193.0000     0.0000
 0.200 0.080   172.5505     3.8733    51.0000   117.0000   238.0000  1559.0000     0.0000
 0.200 0.060   183.8270     4.2515    56.0000   125.0000   247.0000  1562.0000     0.0000
 0.200 0.040   197.1175     4.6370    51.0000   132.0000   275.0000  2000.0000     0.0000
 0.200 0.020   206.2625     4.5676    61.0000   145.0000   283.0000  1401.0000     0.0000
