Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.645137      177.462200       1536.2060
      3.699057      219.225800       1899.4508
      3.672097      202.392000       1752.1974
      3.658617      191.288600       1654.2000
      3.665357      189.387800       1658.9119
      3.668727      196.159400       1699.1415
      3.670412      193.690200       1682.4066
      3.671255      194.043200       1710.5886
      3.671676      201.272200       1745.1295
 Final Limit:   3.67167583185721       ARL:   201.272200000000     
