Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.611273      302.207000       2487.1690
      3.563108      256.089400       2106.4532
      3.539025      241.589600       1983.1496
      3.526984      222.171800       1824.6097
      3.520963      219.343200       1809.6838
      3.517953      218.330800       1820.2418
      3.516447      211.043400       1767.0751
      3.515695      219.271800       1828.0048
      3.515319      220.420600       1835.2298
      3.515130      218.239600       1818.3499
      3.515036      213.041200       1776.1691
      3.514989      214.459000       1788.0635
      3.514966      213.637400       1781.5366
      3.514954      209.511000       1747.6052
      3.514948      215.376200       1769.6666
      3.514945      214.582800       1761.8180
      3.514944      218.335800       1797.4600
      3.514943      217.118800       1798.5937
      3.514943      214.010400       1783.0280
      3.514942      215.879200       1771.9242
      3.514942      214.160800       1757.0935
      3.514942      214.209200       1759.4944
      3.514942      214.863000       1764.4111
      3.514942      212.334600       1756.0200
      3.514942      217.185800       1810.1494
      3.514942      213.201400       1777.8662
      3.514942      209.653200       1750.8246
      3.514942      217.100200       1809.8471
      3.514942      208.730800       1739.0411
      3.514942      218.914800       1824.2032
      3.514942      219.478200       1868.1846
      3.514942      222.864600       1848.4625
      3.514942      215.873000       1772.8726
      3.514942      214.487200       1773.0028
      3.514942      215.680800       1791.7329
      3.514942      219.667800       1838.4416
      3.514942      211.184400       1759.0891
      3.514942      212.585000       1771.8565
      3.514942      216.492200       1805.0042
      3.514942      219.425800       1827.7232
      3.514942      216.050600       1825.2568
      3.514942      216.815200       1809.4119
      3.514942      217.173600       1816.3147
      3.514942      215.878200       1803.9868
      3.514942      212.520000       1771.6075
      3.514942      219.028400       1831.9319
      3.514942      212.273000       1774.5267
      3.514942      215.555400       1793.9730
      3.514942      213.342800       1790.8969
      3.514942      216.441400       1802.8960
      3.514942      213.273200       1777.3181
      3.514942      213.321600       1776.6693
      3.514942      214.954200       1793.5542
      3.514942      216.421200       1809.2884
      3.514942      227.206400       1890.9758
      3.514942      215.616200       1795.9539
      3.514942      212.899800       1793.8643
      3.514942      212.345400       1809.3420
      3.514942      214.132000       1816.5254
      3.514942      214.899400       1825.5026
      3.514942      213.317400       1815.4174
      3.514942      216.685200       1829.6472
      3.514942      215.717800       1797.2782
      3.514942      214.869800       1789.3795
      3.514942      215.259600       1793.7700
      3.514942      210.624400       1729.4529
      3.514942      215.338800       1769.6593
      3.514942      219.116000       1799.8489
      3.514942      212.205000       1742.1761
      3.514942      208.145000       1711.7135
      3.514942      218.410200       1795.4455
      3.514942      212.158800       1744.0626
      3.514942      214.165600       1780.3318
      3.514942      220.200400       1836.2516
      3.514942      213.591000       1785.7218
      3.514942      215.086200       1790.6707
      3.514942      222.049800       1853.6509
      3.514942      215.936000       1798.4097
      3.514942      216.769800       1841.3866
      3.514942      218.459200       1822.7308
      3.514942      219.181000       1822.3240
