Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.676123      177.565200       1316.2219
      3.750688      226.787400       1659.7247
      3.713406      196.194400       1435.5991
      3.732047      210.813800       1544.0066
      3.722726      203.020800       1484.4175
      3.718066      205.473000       1508.9418
      3.715736      204.492400       1513.1355
      3.714571      202.357400       1480.1499
      3.713988      204.082600       1496.6677
      3.713697      205.114400       1503.1234
      3.713551      202.841800       1485.3050
      3.713479      205.413800       1503.8831
      3.713442      205.082000       1501.5484
      3.713424      195.917800       1437.4960
      3.713433      205.499800       1510.0568
      3.713429      195.236800       1446.9536
      3.713431      199.929000       1480.0029
 Final Limit:   3.71343087453745       ARL:   199.929000000000     
