Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.566362      240.589600       1833.6913
      3.507482      202.230400       1536.1343
      3.478043      181.898200       1386.5307
      3.492762      187.323600       1422.2030
      3.500122      191.998200       1463.6509
      3.503802      207.162400       1591.3748
      3.501962      197.010600       1521.4223
      3.502882      191.050200       1475.7273
      3.503342      196.329800       1518.1811
      3.503572      201.917400       1558.2665
 Final Limit:   3.50357222787330       ARL:   201.917400000000     
