Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   146.3216     2.0360    44.0000   103.0000   202.0000  1470.0000     0.0000
 0.500 0.050    58.6414     0.7607    21.0000    42.0000    80.0000   464.0000     0.0000
 0.500 0.100    24.5122     0.2665    12.0000    20.0000    32.0000   210.0000     0.0000
 1.000 0.020    76.8658     1.0697    23.0000    54.0000   106.0000   949.0000     0.0000
 1.000 0.050    20.9674     0.2551     8.0000    16.0000    28.0000   197.0000     0.0000
 1.000 0.100     8.3728     0.0814     4.0000     7.0000    11.0000    74.0000     0.0000
 2.000 0.020    38.8842     0.5414    12.0000    27.0000    53.0000   520.0000     0.0000
 2.000 0.050     8.8170     0.0933     4.0000     7.0000    12.0000    57.0000     0.0000
 2.000 0.100     3.8116     0.0322     2.0000     3.0000     5.0000    21.0000     0.0000
