Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   129.7532     1.8178    39.0000    89.0000   180.0000  1053.0000     0.0000
 0.500 0.050    48.2862     0.6088    19.0000    36.0000    64.0000   494.0000     0.0000
 0.500 0.100    19.9292     0.2089    10.0000    16.0000    26.0000   153.0000     0.0000
 1.000 0.020    65.1058     0.8909    21.0000    46.0000    88.0000   669.0000     0.0000
 1.000 0.050    17.2444     0.2051     7.0000    13.0000    23.0000   203.0000     0.0000
 1.000 0.100     6.9090     0.0630     4.0000     6.0000     9.0000    61.0000     0.0000
 2.000 0.020    31.7874     0.4461    11.0000    23.0000    42.0000   557.0000     0.0000
 2.000 0.050     7.1256     0.0735     3.0000     6.0000     9.0000    55.0000     0.0000
 2.000 0.100     3.2584     0.0260     2.0000     3.0000     4.0000    17.0000     0.0000
