Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   104.9400     1.3854    35.0000    76.0000   143.0000   918.0000     0.0000
 0.500 0.050    34.0158     0.3936    15.0000    26.0000    45.0000   288.0000     0.0000
 0.500 0.100    14.6320     0.1324     8.0000    13.0000    19.0000    83.0000     0.0000
 1.000 0.020    45.6288     0.6293    15.0000    32.0000    62.0000   453.0000     0.0000
 1.000 0.050    12.2818     0.1340     6.0000    10.0000    16.0000   125.0000     0.0000
 1.000 0.100     5.4560     0.0435     3.0000     5.0000     7.0000    30.0000     0.0000
 2.000 0.020    21.3800     0.2790     8.0000    16.0000    28.0000   237.0000     0.0000
 2.000 0.050     5.4494     0.0518     3.0000     4.0000     7.0000    34.0000     0.0000
 2.000 0.100     2.6452     0.0180     2.0000     2.0000     3.0000    13.0000     0.0000
