Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   146.2700     2.0051    44.0000   102.0000   200.0000  1122.0000     0.0000
 0.500 0.050    63.7736     0.7993    24.0000    48.0000    87.0000   395.0000     0.0000
 0.500 0.100    26.6794     0.2865    12.0000    22.0000    35.0000   157.0000     0.0000
 1.000 0.020    82.3260     1.1362    25.0000    57.0000   113.0000   623.0000     0.0000
 1.000 0.050    23.1598     0.2804     9.0000    18.0000    31.0000   184.0000     0.0000
 1.000 0.100     9.1432     0.0919     5.0000     8.0000    12.0000    58.0000     0.0000
 2.000 0.020    43.0850     0.6180    14.0000    30.0000    58.0000   544.0000     0.0000
 2.000 0.050     9.5808     0.1050     4.0000     8.0000    13.0000    80.0000     0.0000
 2.000 0.100     4.0534     0.0351     2.0000     3.0000     5.0000    27.0000     0.0000
