Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   172.5232     2.4072    51.0000   121.0000   239.0000  1487.0000     0.0000
 0.500 0.050    90.0878     1.2369    29.0000    64.0000   121.0000   737.0000     0.0000
 0.500 0.100    39.9030     0.4778    16.0000    31.0000    53.0000   343.0000     0.0000
 1.000 0.020   111.0260     1.5724    33.0000    76.0000   154.0000   963.0000     0.0000
 1.000 0.050    33.8624     0.4327    13.0000    25.0000    45.0000   314.0000     0.0000
 1.000 0.100    13.1010     0.1443     6.0000    10.0000    17.0000   110.0000     0.0000
 2.000 0.020    66.1614     0.9607    20.0000    45.0000    89.0000   701.0000     0.0000
 2.000 0.050    13.2544     0.1538     6.0000    10.0000    18.0000   119.0000     0.0000
 2.000 0.100     5.4536     0.0496     3.0000     5.0000     7.0000    31.0000     0.0000
