Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   118.4646     1.6061    37.0000    84.0000   163.0000   908.0000     0.0000
 0.500 0.050    42.8590     0.5252    17.0000    33.0000    57.0000   399.0000     0.0000
 0.500 0.100    17.7470     0.1736     9.0000    15.0000    23.0000   105.0000     0.0000
 1.000 0.020    56.8356     0.7737    19.0000    40.0000    78.0000   635.0000     0.0000
 1.000 0.050    15.2152     0.1790     7.0000    12.0000    20.0000   141.0000     0.0000
 1.000 0.100     6.3994     0.0569     4.0000     5.0000     8.0000    42.0000     0.0000
 2.000 0.020    26.7624     0.3495     9.0000    20.0000    36.0000   224.0000     0.0000
 2.000 0.050     6.4796     0.0660     3.0000     5.0000     8.0000    46.0000     0.0000
 2.000 0.100     3.0240     0.0229     2.0000     3.0000     4.0000    14.0000     0.0000
