Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   138.1266     1.9320    44.0000    98.0000   188.0000  1355.0000     0.0000
 0.500 0.050    54.8198     0.6974    21.0000    41.0000    73.0000   523.0000     0.0000
 0.500 0.100    22.7704     0.2453    11.0000    19.0000    30.0000   176.0000     0.0000
 1.000 0.020    73.1240     1.0103    23.0000    51.0000    99.0000   758.0000     0.0000
 1.000 0.050    19.9526     0.2406     8.0000    15.0000    26.0000   142.0000     0.0000
 1.000 0.100     7.7742     0.0740     4.0000     6.0000    10.0000    51.0000     0.0000
 2.000 0.020    36.0176     0.4857    12.0000    26.0000    49.0000   292.0000     0.0000
 2.000 0.050     8.2406     0.0846     4.0000     7.0000    11.0000    59.0000     0.0000
 2.000 0.100     3.5722     0.0287     2.0000     3.0000     4.0000    21.0000     0.0000
