Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   166.1642     2.3520    49.0000   116.0000   229.0000  1461.0000     0.0000
 0.500 0.050    79.5466     1.0513    28.0000    57.0000   107.0000   566.0000     0.0000
 0.500 0.100    33.9848     0.4003    15.0000    26.0000    46.0000   352.0000     0.0000
 1.000 0.020    97.6396     1.3634    30.0000    69.0000   135.0000   880.0000     0.0000
 1.000 0.050    29.7484     0.3812    11.0000    22.0000    40.0000   252.0000     0.0000
 1.000 0.100    11.3032     0.1210     5.0000     9.0000    15.0000    98.0000     0.0000
 2.000 0.020    58.9154     0.8321    18.0000    41.0000    80.0000   464.0000     0.0000
 2.000 0.050    11.7096     0.1324     5.0000     9.0000    15.0000   100.0000     0.0000
 2.000 0.100     4.8150     0.0441     3.0000     4.0000     6.0000    26.0000     0.0000
