Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      4.211420      390.789600       2980.0577
      4.155963      308.826600       2355.0453
      4.183692      338.454400       2582.4679
      4.197556      361.963000       2762.8600
      4.204488      366.211800       2792.1903
      4.207954      379.013600       2894.3864
      4.206221      386.897600       2949.9575
      4.205355      374.156600       2854.7391
      4.204921      375.188200       2860.2201
      4.204705      371.700000       2833.7288
 Final Limit:   4.20470463590402       ARL:   371.700000000000     
