Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.994067      276.680000       1801.4962
      4.031829      312.883000       2037.5091
      4.050710      332.844600       2166.9067
      4.060150      353.046000       2299.8621
      4.064870      349.351600       2273.1327
      4.067230      363.586800       2365.7601
      4.068410      357.549400       2330.1244
      4.069001      356.896200       2323.2370
      4.069296      360.631200       2348.7693
      4.069443      357.178600       2325.9933
      4.069517      359.200800       2337.9350
      4.069554      358.902200       2335.4248
      4.069572      359.751000       2341.8859
      4.069581      353.535400       2301.6020
      4.069586      352.848800       2296.3165
      4.069588      359.433200       2339.4241
      4.069589      361.473000       2352.7222
      4.069590      360.440600       2345.7804
      4.069590      356.258000       2316.6824
      4.069590      364.316400       2372.7867
      4.069590      361.401600       2351.0497
      4.069591      357.338000       2325.8253
      4.069591      362.102200       2355.0148
      4.069591      360.830800       2347.8795
      4.069591      360.764600       2347.4688
      4.069591      366.052800       2381.6991
      4.069591      358.310600       2332.6988
      4.069591      364.864400       2373.7616
      4.069591      361.471400       2353.6952
      4.069591      350.652200       2280.9031
      4.069591      356.390000       2318.9919
      4.069591      364.583000       2373.6352
      4.069591      367.107200       2389.1601
 Final Limit:   4.06959054959716       ARL:   367.107200000000     
