Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      4.438141      300.353800       4170.7660
      4.472728      350.577600       4867.7273
      4.490021      379.514400       5271.1128
      4.481375      362.782400       5036.8458
      4.485698      363.939200       5056.2534
      4.487860      365.585200       5081.9841
      4.488940      364.340800       5063.8665
      4.489481      374.573400       5203.1706
      4.489211      370.973600       5153.2828
 Final Limit:   4.48921058299815       ARL:   370.973600000000     
