Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.0620     0.0452     3.0000     4.0000     6.0000    49.0000     0.0000
 2.000 0.180     5.6480     0.0541     3.0000     5.0000     7.0000    36.0000     0.0000
 2.000 0.160     6.3760     0.0636     3.0000     5.0000     8.0000    46.0000     0.0000
 2.000 0.140     7.5512     0.0789     4.0000     6.0000    10.0000    60.0000     0.0000
 2.000 0.120     8.9664     0.1026     4.0000     7.0000    12.0000    87.0000     0.0000
 2.000 0.100    11.7810     0.1400     5.0000     9.0000    15.0000   110.0000     0.0000
 2.000 0.080    16.3050     0.1975     6.0000    12.0000    22.0000   138.0000     0.0000
 2.000 0.060    25.3518     0.3154    10.0000    19.0000    34.0000   227.0000     0.0000
 2.000 0.040    46.5098     0.5880    16.0000    35.0000    64.0000   342.0000     0.0000
 2.000 0.020   105.3112     1.3529    34.0000    77.0000   152.0000   747.0000     0.0000
 1.800 0.200     5.7836     0.0533     3.0000     5.0000     7.0000    36.0000     0.0000
 1.800 0.180     6.5072     0.0633     3.0000     5.0000     8.0000    37.0000     0.0000
 1.800 0.160     7.4224     0.0751     4.0000     6.0000     9.0000    46.0000     0.0000
 1.800 0.140     8.5432     0.0923     4.0000     7.0000    11.0000    64.0000     0.0000
 1.800 0.120    10.5538     0.1210     5.0000     8.0000    14.0000    83.0000     0.0000
 1.800 0.100    13.6724     0.1613     6.0000    10.0000    18.0000   131.0000     0.0000
 1.800 0.080    18.5708     0.2218     7.0000    14.0000    25.0000   119.0000     0.0000
 1.800 0.060    29.1128     0.3732    11.0000    21.0000    39.0000   264.0000     0.0000
 1.800 0.040    52.6622     0.6724    18.0000    39.0000    72.0000   376.0000     0.0000
 1.800 0.020   116.7698     1.4479    40.0000    89.0000   165.0000   861.0000     0.0000
 1.600 0.200     6.9142     0.0675     4.0000     6.0000     9.0000    50.0000     0.0000
 1.600 0.180     7.7500     0.0797     4.0000     6.0000    10.0000    71.0000     0.0000
 1.600 0.160     8.8342     0.0920     4.0000     7.0000    11.0000    63.0000     0.0000
 1.600 0.140    10.4934     0.1164     5.0000     8.0000    14.0000    90.0000     0.0000
 1.600 0.120    12.5232     0.1406     6.0000    10.0000    16.0000   104.0000     0.0000
 1.600 0.100    16.5448     0.1947     7.0000    13.0000    22.0000   138.0000     0.0000
 1.600 0.080    22.8210     0.2772     9.0000    17.0000    31.0000   232.0000     0.0000
 1.600 0.060    35.1426     0.4421    13.0000    26.0000    48.0000   291.0000     0.0000
 1.600 0.040    61.3830     0.7738    21.0000    45.0000    86.0000   471.0000     0.0000
 1.600 0.020   126.1934     1.5436    44.0000    97.0000   180.0000   860.0000     0.0000
 1.400 0.200     8.3826     0.0839     4.0000     7.0000    11.0000    52.0000     0.0000
 1.400 0.180     9.6014     0.0991     5.0000     8.0000    12.0000    82.0000     0.0000
 1.400 0.160    10.5840     0.1138     5.0000     8.0000    14.0000    79.0000     0.0000
 1.400 0.140    12.8192     0.1400     6.0000    10.0000    17.0000    89.0000     0.0000
 1.400 0.120    15.9032     0.1848     7.0000    12.0000    21.0000   123.0000     0.0000
 1.400 0.100    19.8994     0.2395     8.0000    15.0000    27.0000   170.0000     0.0000
 1.400 0.080    27.0156     0.3213    10.0000    20.0000    38.0000   227.0000     0.0000
 1.400 0.060    42.1682     0.5278    16.0000    31.0000    57.0000   285.0000     0.0000
 1.400 0.040    71.1192     0.8876    25.0000    53.0000    99.0000   513.0000     0.0000
 1.400 0.020   136.6170     1.6910    47.0000   106.0000   193.0000   997.0000     0.0000
 1.200 0.200    10.5788     0.1105     5.0000     8.0000    14.0000    72.0000     0.0000
 1.200 0.180    11.9796     0.1289     6.0000     9.0000    16.0000   113.0000     0.0000
 1.200 0.160    14.2858     0.1590     6.0000    11.0000    19.0000   106.0000     0.0000
 1.200 0.140    16.4854     0.1923     7.0000    12.0000    22.0000   125.0000     0.0000
 1.200 0.120    20.0748     0.2344     8.0000    16.0000    26.0000   158.0000     0.0000
 1.200 0.100    25.8412     0.3094    10.0000    20.0000    35.0000   219.0000     0.0000
 1.200 0.080    35.1064     0.4296    13.0000    27.0000    47.0000   317.0000     0.0000
 1.200 0.060    51.5782     0.6235    19.0000    39.0000    72.0000   345.0000     0.0000
 1.200 0.040    85.1902     1.0368    30.0000    65.0000   120.0000   521.0000     0.0000
 1.200 0.020   147.7060     1.7730    52.0000   115.0000   209.0000   922.0000     0.0000
 1.000 0.200    14.1318     0.1511     7.0000    11.0000    18.0000   101.0000     0.0000
 1.000 0.180    16.1420     0.1785     7.0000    13.0000    21.0000   114.0000     0.0000
 1.000 0.160    18.2760     0.2121     8.0000    14.0000    24.0000   185.0000     0.0000
 1.000 0.140    22.1408     0.2584     9.0000    17.0000    29.0000   171.0000     0.0000
 1.000 0.120    27.0062     0.3158    11.0000    21.0000    37.0000   187.0000     0.0000
 1.000 0.100    33.8840     0.4117    13.0000    26.0000    46.0000   259.0000     0.0000
 1.000 0.080    47.4938     0.5813    18.0000    36.0000    65.0000   436.0000     0.0000
 1.000 0.060    64.8178     0.7731    24.0000    50.0000    90.0000   576.0000     0.0000
 1.000 0.040   104.2234     1.2453    38.0000    82.0000   146.0000   664.0000     0.0000
 1.000 0.020   166.7244     1.9858    59.0000   129.0000   238.0000   889.0000     0.0000
 0.800 0.200    20.9106     0.2312     9.0000    16.0000    28.0000   141.0000     0.0000
 0.800 0.180    23.3764     0.2684    10.0000    18.0000    31.0000   202.0000     0.0000
 0.800 0.160    26.9952     0.3137    11.0000    21.0000    36.0000   198.0000     0.0000
 0.800 0.140    31.9324     0.3738    13.0000    25.0000    43.0000   239.0000     0.0000
 0.800 0.120    39.5810     0.4721    15.0000    30.0000    54.0000   276.0000     0.0000
 0.800 0.100    48.3914     0.5776    19.0000    37.0000    66.0000   323.0000     0.0000
 0.800 0.080    65.0246     0.7847    24.0000    50.0000    92.0000   485.0000     0.0000
 0.800 0.060    89.3984     1.0754    34.0000    68.0000   126.0000   668.0000     0.0000
 0.800 0.040   127.1756     1.5855    44.0000    96.0000   178.0000   903.0000     0.0000
 0.800 0.020   177.8008     2.1322    62.0000   138.0000   250.0000   947.0000     0.0000
 0.600 0.200    35.2530     0.4094    14.0000    27.0000    48.0000   246.0000     0.0000
 0.600 0.180    40.0730     0.4812    16.0000    30.0000    54.0000   405.0000     0.0000
 0.600 0.160    45.0564     0.5375    17.0000    34.0000    62.0000   428.0000     0.0000
 0.600 0.140    53.1530     0.6294    21.0000    41.0000    73.0000   475.0000     0.0000
 0.600 0.120    63.7498     0.7628    25.0000    49.0000    87.0000   438.0000     0.0000
 0.600 0.100    76.2210     0.9186    28.0000    58.0000   105.0000   540.0000     0.0000
 0.600 0.080    97.7260     1.1461    36.0000    77.0000   139.0000   676.0000     0.0000
 0.600 0.060   122.1878     1.4618    44.0000    95.0000   173.0000   931.0000     0.0000
 0.600 0.040   158.4840     1.8757    59.0000   126.0000   218.0000   905.0000     0.0000
 0.600 0.020   189.6852     2.2636    70.0000   148.0000   269.0000  1234.0000     0.0000
 0.400 0.200    74.4088     0.8796    28.0000    58.0000   103.0000   538.0000     0.0000
 0.400 0.180    79.8932     0.9807    29.0000    61.0000   113.0000   688.0000     0.0000
 0.400 0.160    91.6828     1.0845    34.0000    72.0000   127.0000   770.0000     0.0000
 0.400 0.140   103.3018     1.2399    38.0000    79.0000   145.0000   707.0000     0.0000
 0.400 0.120   114.4912     1.3936    42.0000    87.0000   160.0000   963.0000     0.0000
 0.400 0.100   133.1972     1.5742    49.0000   105.0000   186.0000   919.0000     0.0000
 0.400 0.080   147.8428     1.7873    54.0000   116.0000   209.0000   952.0000     0.0000
 0.400 0.060   159.3574     1.9337    56.0000   124.0000   226.0000  1456.0000     0.0000
 0.400 0.040   184.3622     2.1614    68.0000   147.0000   260.0000  1179.0000     0.0000
 0.400 0.020   195.5222     2.3150    72.0000   156.0000   278.0000  1512.0000     0.0000
 0.200 0.200   155.8614     1.8854    55.0000   119.0000   223.0000  1013.0000     0.0000
 0.200 0.180   166.9010     2.0141    62.0000   128.0000   234.0000  1076.0000     0.0000
 0.200 0.160   170.2038     2.0437    61.0000   134.0000   239.0000   966.0000     0.0000
 0.200 0.140   172.4576     2.0695    63.0000   137.0000   243.0000  1170.0000     0.0000
 0.200 0.120   181.2794     2.1740    66.0000   144.0000   256.0000  1158.0000     0.0000
 0.200 0.100   182.9952     2.2040    66.0000   143.0000   257.0000  1330.0000     0.0000
 0.200 0.080   189.5068     2.2481    69.0000   150.0000   268.0000  1154.0000     0.0000
 0.200 0.060   191.8398     2.2776    71.0000   151.0000   269.0000  1301.0000     0.0000
 0.200 0.040   197.5710     2.3967    69.0000   151.0000   284.0000  1188.0000     0.0000
 0.200 0.020   202.9172     2.4032    74.0000   162.0000   288.0000  1287.0000     0.0000
