Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200    10.1878     0.1023     5.0000     8.0000    13.0000    61.0000     0.0000
 2.000 0.180    12.2062     0.1270     6.0000    10.0000    16.0000   104.0000     0.0000
 2.000 0.160    13.9650     0.1489     6.0000    11.0000    19.0000    97.0000     0.0000
 2.000 0.140    15.9724     0.1715     7.0000    13.0000    21.0000    95.0000     0.0000
 2.000 0.120    19.7778     0.2132     8.0000    16.0000    27.0000   122.0000     0.0000
 2.000 0.100    25.6242     0.2714    11.0000    21.0000    35.0000   189.0000     0.0000
 2.000 0.080    34.7916     0.3699    15.0000    29.0000    48.0000   218.0000     0.0000
 2.000 0.060    49.2022     0.5084    21.0000    42.0000    70.0000   288.0000     0.0000
 2.000 0.040    82.3738     0.8230    37.0000    71.0000   115.0000   432.0000     0.0000
 2.000 0.020   144.3584     1.3656    70.0000   128.0000   202.0000   629.0000     0.0000
 1.800 0.200    13.3272     0.1377     6.0000    11.0000    18.0000   103.0000     0.0000
 1.800 0.180    15.0756     0.1603     7.0000    12.0000    20.0000   107.0000     0.0000
 1.800 0.160    17.6028     0.1857     8.0000    14.0000    24.0000   105.0000     0.0000
 1.800 0.140    20.5568     0.2143     9.0000    17.0000    28.0000   111.0000     0.0000
 1.800 0.120    24.9970     0.2551    11.0000    21.0000    35.0000   143.0000     0.0000
 1.800 0.100    31.1802     0.3183    14.0000    26.0000    43.0000   175.0000     0.0000
 1.800 0.080    41.7908     0.4322    18.0000    35.0000    58.0000   239.0000     0.0000
 1.800 0.060    59.3594     0.5910    28.0000    51.0000    82.0000   294.0000     0.0000
 1.800 0.040    91.7564     0.8869    44.0000    80.0000   128.0000   440.0000     0.0000
 1.800 0.020   155.0206     1.4298    76.0000   138.0000   216.0000   640.0000     0.0000
 1.600 0.200    17.3042     0.1786     8.0000    14.0000    23.0000    96.0000     0.0000
 1.600 0.180    19.2572     0.1955     9.0000    16.0000    26.0000   126.0000     0.0000
 1.600 0.160    22.6896     0.2265    11.0000    19.0000    31.0000   139.0000     0.0000
 1.600 0.140    26.3664     0.2654    12.0000    22.0000    36.0000   153.0000     0.0000
 1.600 0.120    32.0508     0.3273    14.0000    27.0000    44.0000   175.0000     0.0000
 1.600 0.100    38.9978     0.3866    18.0000    34.0000    54.0000   204.0000     0.0000
 1.600 0.080    51.0016     0.4886    24.0000    44.0000    71.0000   225.0000     0.0000
 1.600 0.060    70.0266     0.6653    34.0000    61.0000    97.0000   364.0000     0.0000
 1.600 0.040   105.4066     1.0017    51.0000    93.0000   147.0000   487.0000     0.0000
 1.600 0.020   165.0634     1.5042    83.0000   150.0000   225.0000   621.0000     0.0000
 1.400 0.200    22.9716     0.2281    11.0000    19.0000    31.0000   139.0000     0.0000
 1.400 0.180    25.6906     0.2574    12.0000    22.0000    35.0000   125.0000     0.0000
 1.400 0.160    29.5792     0.2898    14.0000    25.0000    41.0000   154.0000     0.0000
 1.400 0.140    34.7094     0.3365    16.0000    30.0000    48.0000   177.0000     0.0000
 1.400 0.120    40.7148     0.3921    19.0000    36.0000    57.0000   209.0000     0.0000
 1.400 0.100    50.6218     0.4879    24.0000    45.0000    70.0000   277.0000     0.0000
 1.400 0.080    62.9946     0.5948    30.0000    56.0000    87.0000   343.0000     0.0000
 1.400 0.060    84.5618     0.7918    41.0000    74.0000   118.0000   358.0000     0.0000
 1.400 0.040   121.1268     1.1124    62.0000   107.0000   167.0000   506.0000     0.0000
 1.400 0.020   171.8658     1.5493    88.0000   156.0000   238.0000   736.0000     0.0000
 1.200 0.200    31.3422     0.3032    15.0000    27.0000    43.0000   149.0000     0.0000
 1.200 0.180    34.5860     0.3348    16.0000    30.0000    47.0000   155.0000     0.0000
 1.200 0.160    39.3940     0.3795    18.0000    34.0000    55.0000   208.0000     0.0000
 1.200 0.140    45.0296     0.4298    21.0000    40.0000    63.0000   234.0000     0.0000
 1.200 0.120    53.8668     0.4965    27.0000    48.0000    74.0000   262.0000     0.0000
 1.200 0.100    65.7138     0.6074    32.0000    59.0000    91.0000   280.0000     0.0000
 1.200 0.080    80.6254     0.7281    41.0000    73.0000   112.0000   308.0000     0.0000
 1.200 0.060   102.8164     0.9264    54.0000    94.0000   142.0000   470.0000     0.0000
 1.200 0.040   136.6796     1.1980    73.0000   125.0000   189.0000   622.0000     0.0000
 1.200 0.020   187.4804     1.6189   100.0000   172.0000   254.0000   788.0000     0.0000
 1.000 0.200    43.3502     0.4005    21.0000    39.0000    60.0000   208.0000     0.0000
 1.000 0.180    47.7440     0.4531    24.0000    42.0000    66.0000   227.0000     0.0000
 1.000 0.160    54.1936     0.4925    28.0000    49.0000    75.0000   237.0000     0.0000
 1.000 0.140    61.8704     0.5652    31.0000    55.0000    85.0000   309.0000     0.0000
 1.000 0.120    71.4298     0.6455    37.0000    64.0000    99.0000   366.0000     0.0000
 1.000 0.100    84.7758     0.7432    45.0000    77.0000   117.0000   342.0000     0.0000
 1.000 0.080   103.5950     0.9213    54.0000    94.0000   143.0000   382.0000     0.0000
 1.000 0.060   123.0538     1.1099    62.0000   112.0000   170.0000   488.0000     0.0000
 1.000 0.040   154.4576     1.3824    79.0000   140.0000   216.0000   734.0000     0.0000
 1.000 0.020   189.9596     1.6781    99.0000   175.0000   262.0000   750.0000     0.0000
 0.800 0.200    64.0388     0.5665    33.0000    58.0000    88.0000   288.0000     0.0000
 0.800 0.180    70.3590     0.6333    36.0000    64.0000    97.0000   313.0000     0.0000
 0.800 0.160    77.3444     0.6934    40.0000    70.0000   106.0000   357.0000     0.0000
 0.800 0.140    85.7558     0.7512    45.0000    77.0000   119.0000   354.0000     0.0000
 0.800 0.120    97.8278     0.8519    51.0000    90.0000   135.0000   450.0000     0.0000
 0.800 0.100   112.3846     0.9833    60.0000   103.0000   154.0000   492.0000     0.0000
 0.800 0.080   127.0736     1.1219    67.0000   116.0000   175.0000   657.0000     0.0000
 0.800 0.060   149.9672     1.3001    80.0000   137.0000   208.0000   582.0000     0.0000
 0.800 0.040   173.9734     1.5014    92.0000   161.0000   240.0000   684.0000     0.0000
 0.800 0.020   193.8678     1.6902   104.0000   179.0000   267.0000   772.0000     0.0000
 0.600 0.200    95.8862     0.8221    52.0000    89.0000   132.0000   371.0000     0.0000
 0.600 0.180   103.8080     0.9058    55.0000    95.0000   143.0000   566.0000     0.0000
 0.600 0.160   110.6688     0.9741    58.0000   102.0000   152.0000   462.0000     0.0000
 0.600 0.140   122.2666     1.0625    65.0000   112.0000   170.0000   581.0000     0.0000
 0.600 0.120   131.6236     1.1352    71.0000   122.0000   180.0000   555.0000     0.0000
 0.600 0.100   144.5184     1.2424    79.0000   133.0000   197.0000   610.0000     0.0000
 0.600 0.080   158.8562     1.3779    83.0000   146.0000   220.0000   556.0000     0.0000
 0.600 0.060   174.0160     1.4943    93.0000   161.0000   237.0000   718.0000     0.0000
 0.600 0.040   190.3984     1.6720    98.0000   176.0000   264.0000   757.0000     0.0000
 0.600 0.020   198.7930     1.7265   103.0000   184.0000   274.0000   795.0000     0.0000
 0.400 0.200   141.7730     1.2172    78.0000   130.0000   195.0000   563.0000     0.0000
 0.400 0.180   146.9280     1.2700    77.0000   136.0000   201.0000   557.0000     0.0000
 0.400 0.160   152.6024     1.3578    78.0000   139.0000   210.0000   632.0000     0.0000
 0.400 0.140   163.9022     1.4275    88.0000   151.0000   224.0000   684.0000     0.0000
 0.400 0.120   169.6820     1.4805    88.0000   156.0000   235.0000   706.0000     0.0000
 0.400 0.100   179.4618     1.5749    94.0000   165.0000   248.0000   708.0000     0.0000
 0.400 0.080   183.6720     1.6008    98.0000   168.0000   251.0000   750.0000     0.0000
 0.400 0.060   188.6354     1.6655    99.0000   172.0000   260.0000   873.0000     0.0000
 0.400 0.040   195.4792     1.7074   103.0000   181.0000   270.0000   829.0000     0.0000
 0.400 0.020   199.7302     1.7642   105.0000   184.0000   276.0000   876.0000     0.0000
 0.200 0.200   183.2682     1.6052    96.0000   167.0000   254.0000   660.0000     0.0000
 0.200 0.180   186.2466     1.6277    99.0000   168.0000   256.0000   765.0000     0.0000
 0.200 0.160   185.5078     1.6598    96.0000   170.0000   259.0000   772.0000     0.0000
 0.200 0.140   194.1552     1.6827   104.0000   178.0000   269.0000   747.0000     0.0000
