Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.5078     0.0495     3.0000     5.0000     7.0000    49.0000     0.0000
 2.000 0.180     6.0974     0.0570     3.0000     5.0000     8.0000    42.0000     0.0000
 2.000 0.160     7.0084     0.0694     4.0000     6.0000     9.0000    51.0000     0.0000
 2.000 0.140     8.2550     0.0862     4.0000     6.0000    10.0000    70.0000     0.0000
 2.000 0.120     9.7996     0.1039     5.0000     8.0000    13.0000    73.0000     0.0000
 2.000 0.100    12.7320     0.1444     6.0000    10.0000    17.0000   114.0000     0.0000
 2.000 0.080    17.4518     0.2111     7.0000    13.0000    23.0000   177.0000     0.0000
 2.000 0.060    26.6034     0.3284    10.0000    20.0000    37.0000   193.0000     0.0000
 2.000 0.040    49.3590     0.6187    17.0000    37.0000    69.0000   382.0000     0.0000
 2.000 0.020   113.3614     1.3689    41.0000    91.0000   160.0000   818.0000     0.0000
 1.800 0.200     6.3948     0.0572     4.0000     5.0000     8.0000    36.0000     0.0000
 1.800 0.180     7.0888     0.0652     4.0000     6.0000     9.0000    43.0000     0.0000
 1.800 0.160     8.0884     0.0806     4.0000     6.0000    10.0000    60.0000     0.0000
 1.800 0.140     9.7032     0.1036     5.0000     8.0000    13.0000    67.0000     0.0000
 1.800 0.120    11.8866     0.1325     5.0000     9.0000    16.0000   104.0000     0.0000
 1.800 0.100    14.9058     0.1734     6.0000    12.0000    20.0000   134.0000     0.0000
 1.800 0.080    20.8910     0.2455     8.0000    16.0000    28.0000   147.0000     0.0000
 1.800 0.060    31.0478     0.3862    11.0000    23.0000    43.0000   223.0000     0.0000
 1.800 0.040    56.6826     0.7154    20.0000    42.0000    80.0000   485.0000     0.0000
 1.800 0.020   120.9676     1.4524    43.0000    96.0000   170.0000   893.0000     0.0000
 1.600 0.200     7.7612     0.0759     4.0000     6.0000    10.0000    85.0000     0.0000
 1.600 0.180     8.6858     0.0846     5.0000     7.0000    11.0000    53.0000     0.0000
 1.600 0.160     9.7864     0.1019     5.0000     8.0000    13.0000    79.0000     0.0000
 1.600 0.140    11.5202     0.1266     5.0000     9.0000    15.0000   111.0000     0.0000
 1.600 0.120    13.8896     0.1569     6.0000    11.0000    18.0000   138.0000     0.0000
 1.600 0.100    18.4404     0.2117     8.0000    14.0000    24.0000   126.0000     0.0000
 1.600 0.080    24.8748     0.2976    10.0000    19.0000    33.0000   203.0000     0.0000
 1.600 0.060    38.4076     0.4728    14.0000    29.0000    52.0000   282.0000     0.0000
 1.600 0.040    65.7584     0.7816    25.0000    52.0000    90.0000   399.0000     0.0000
 1.600 0.020   129.0822     1.5192    49.0000   102.0000   181.0000   820.0000     0.0000
 1.400 0.200     9.5286     0.0931     5.0000     8.0000    12.0000    66.0000     0.0000
 1.400 0.180    10.6796     0.1100     5.0000     9.0000    14.0000    78.0000     0.0000
 1.400 0.160    12.3638     0.1300     6.0000    10.0000    16.0000    87.0000     0.0000
 1.400 0.140    14.6376     0.1583     7.0000    11.0000    19.0000   110.0000     0.0000
 1.400 0.120    17.9312     0.2034     8.0000    14.0000    24.0000   122.0000     0.0000
 1.400 0.100    22.9634     0.2740     9.0000    17.0000    31.0000   172.0000     0.0000
 1.400 0.080    30.4050     0.3598    12.0000    23.0000    41.0000   231.0000     0.0000
 1.400 0.060    45.3234     0.5329    17.0000    35.0000    63.0000   306.0000     0.0000
 1.400 0.040    77.6338     0.9295    29.0000    60.0000   108.0000   558.0000     0.0000
 1.400 0.020   140.9970     1.6599    52.0000   113.0000   199.0000   911.0000     0.0000
 1.200 0.200    12.3324     0.1260     6.0000    10.0000    16.0000    76.0000     0.0000
 1.200 0.180    13.9936     0.1470     7.0000    11.0000    18.0000    89.0000     0.0000
 1.200 0.160    15.9578     0.1712     8.0000    13.0000    21.0000   115.0000     0.0000
 1.200 0.140    19.0522     0.2033     9.0000    15.0000    26.0000   139.0000     0.0000
 1.200 0.120    23.2774     0.2694    10.0000    18.0000    31.0000   219.0000     0.0000
 1.200 0.100    29.2870     0.3366    12.0000    23.0000    39.0000   197.0000     0.0000
 1.200 0.080    39.1866     0.4599    15.0000    31.0000    54.0000   378.0000     0.0000
 1.200 0.060    57.6402     0.6988    22.0000    44.0000    79.0000   553.0000     0.0000
 1.200 0.040    91.2522     1.0569    35.0000    72.0000   128.0000   545.0000     0.0000
 1.200 0.020   152.3768     1.7524    59.0000   123.0000   213.0000   791.0000     0.0000
 1.000 0.200    16.9708     0.1826     8.0000    13.0000    22.0000   127.0000     0.0000
 1.000 0.180    19.2348     0.2056     9.0000    15.0000    26.0000   113.0000     0.0000
 1.000 0.160    21.8606     0.2471     9.0000    17.0000    29.0000   183.0000     0.0000
 1.000 0.140    25.7224     0.2953    11.0000    20.0000    34.0000   259.0000     0.0000
 1.000 0.120    31.4064     0.3546    13.0000    25.0000    43.0000   209.0000     0.0000
 1.000 0.100    39.0182     0.4574    15.0000    30.0000    53.0000   264.0000     0.0000
 1.000 0.080    52.9830     0.6076    21.0000    42.0000    74.0000   309.0000     0.0000
 1.000 0.060    73.9282     0.8475    29.0000    59.0000   103.0000   607.0000     0.0000
 1.000 0.040   112.2044     1.2750    45.0000    91.0000   156.0000   587.0000     0.0000
 1.000 0.020   165.5802     1.9283    63.0000   131.0000   234.0000  1053.0000     0.0000
 0.800 0.200    24.7410     0.2675    11.0000    20.0000    33.0000   164.0000     0.0000
 0.800 0.180    28.8752     0.3152    13.0000    23.0000    39.0000   203.0000     0.0000
 0.800 0.160    32.4106     0.3631    14.0000    26.0000    44.0000   214.0000     0.0000
 0.800 0.140    38.0732     0.4290    16.0000    30.0000    52.0000   337.0000     0.0000
 0.800 0.120    46.1326     0.5208    19.0000    36.0000    64.0000   262.0000     0.0000
 0.800 0.100    57.8906     0.6457    24.0000    47.0000    80.0000   480.0000     0.0000
 0.800 0.080    73.3864     0.8398    28.0000    59.0000   102.0000   391.0000     0.0000
 0.800 0.060    99.0788     1.1148    39.0000    79.0000   139.0000   581.0000     0.0000
 0.800 0.040   134.9890     1.5448    53.0000   108.0000   191.0000   844.0000     0.0000
 0.800 0.020   177.6448     2.0225    69.0000   143.0000   249.0000  1212.0000     0.0000
 0.600 0.200    43.0808     0.4943    17.0000    34.0000    59.0000   316.0000     0.0000
 0.600 0.180    47.0906     0.5243    19.0000    38.0000    64.0000   360.0000     0.0000
 0.600 0.160    54.4172     0.6119    22.0000    44.0000    74.0000   402.0000     0.0000
 0.600 0.140    63.1486     0.7007    26.0000    51.0000    88.0000   354.0000     0.0000
 0.600 0.120    75.5416     0.8488    30.0000    61.0000   107.0000   450.0000     0.0000
 0.600 0.100    86.8110     0.9921    34.0000    69.0000   121.0000   497.0000     0.0000
 0.600 0.080   106.5456     1.2315    41.0000    86.0000   150.0000   580.0000     0.0000
 0.600 0.060   131.7616     1.5026    51.0000   107.0000   184.0000   896.0000     0.0000
 0.600 0.040   162.8284     1.8587    63.0000   132.0000   227.0000  1052.0000     0.0000
 0.600 0.020   191.0294     2.2157    73.0000   153.0000   266.0000  1297.0000     0.0000
 0.400 0.200    85.3656     0.9744    34.0000    68.0000   118.0000   661.0000     0.0000
 0.400 0.180    93.9990     1.0558    39.0000    76.0000   132.0000   776.0000     0.0000
 0.400 0.160   101.9028     1.1571    39.0000    81.0000   145.0000   555.0000     0.0000
 0.400 0.140   112.7054     1.2818    46.0000    91.0000   156.0000   688.0000     0.0000
 0.400 0.120   125.0894     1.4468    49.0000   101.0000   174.0000   770.0000     0.0000
 0.400 0.100   140.5096     1.5987    56.0000   113.0000   196.0000   762.0000     0.0000
 0.400 0.080   151.7978     1.7711    59.0000   121.0000   210.0000  1018.0000     0.0000
 0.400 0.060   172.1602     1.9911    64.0000   140.0000   242.0000   948.0000     0.0000
 0.400 0.040   187.5406     2.1971    70.0000   148.0000   265.0000  1202.0000     0.0000
 0.400 0.020   194.4226     2.2384    76.0000   155.0000   273.0000  1148.0000     0.0000
 0.200 0.200   160.5306     1.8565    61.0000   128.0000   227.0000  1185.0000     0.0000
 0.200 0.180   167.1774     1.8966    66.0000   135.0000   236.0000   833.0000     0.0000
 0.200 0.160   171.9300     1.9542    66.0000   140.0000   245.0000  1169.0000     0.0000
 0.200 0.140   179.0156     2.0412    70.0000   145.0000   250.0000  1205.0000     0.0000
 0.200 0.120   182.3374     2.0778    72.0000   150.0000   256.0000  1070.0000     0.0000
 0.200 0.100   188.6188     2.1652    75.0000   150.0000   263.0000  1137.0000     0.0000
 0.200 0.080   189.4906     2.1767    72.0000   153.0000   268.0000  1131.0000     0.0000
 0.200 0.060   193.7516     2.2075    77.0000   155.0000   278.0000  1090.0000     0.0000
 0.200 0.040   193.1840     2.2189    76.0000   154.0000   269.0000  1199.0000     0.0000
 0.200 0.020   197.7416     2.2754    76.0000   161.0000   274.0000  1310.0000     0.0000
