Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.0750     0.0457     3.0000     4.0000     6.0000    27.0000     0.0000
 2.000 0.180     5.5798     0.0535     3.0000     5.0000     7.0000    49.0000     0.0000
 2.000 0.160     6.2818     0.0624     3.0000     5.0000     8.0000    48.0000     0.0000
 2.000 0.140     7.3894     0.0763     4.0000     6.0000    10.0000    46.0000     0.0000
 2.000 0.120     9.2386     0.1031     4.0000     7.0000    12.0000    69.0000     0.0000
 2.000 0.100    11.6806     0.1359     5.0000     9.0000    15.0000   102.0000     0.0000
 2.000 0.080    15.7606     0.1923     6.0000    12.0000    21.0000   130.0000     0.0000
 2.000 0.060    24.7118     0.3130     9.0000    18.0000    34.0000   180.0000     0.0000
 2.000 0.040    46.0792     0.5998    16.0000    33.0000    64.0000   352.0000     0.0000
 2.000 0.020   106.3686     1.3603    35.0000    79.0000   149.0000   716.0000     0.0000
 1.800 0.200     5.6716     0.0521     3.0000     5.0000     7.0000    40.0000     0.0000
 1.800 0.180     6.4196     0.0626     3.0000     5.0000     8.0000    42.0000     0.0000
 1.800 0.160     7.3410     0.0742     4.0000     6.0000     9.0000    50.0000     0.0000
 1.800 0.140     8.6448     0.0914     4.0000     7.0000    11.0000    64.0000     0.0000
 1.800 0.120    10.5792     0.1210     5.0000     8.0000    14.0000    96.0000     0.0000
 1.800 0.100    13.3328     0.1575     6.0000    10.0000    17.0000   119.0000     0.0000
 1.800 0.080    18.6434     0.2332     7.0000    14.0000    25.0000   161.0000     0.0000
 1.800 0.060    29.2912     0.3713    11.0000    22.0000    40.0000   262.0000     0.0000
 1.800 0.040    51.7520     0.6839    17.0000    38.0000    72.0000   519.0000     0.0000
 1.800 0.020   117.7682     1.4920    39.0000    89.0000   166.0000   735.0000     0.0000
 1.600 0.200     6.7984     0.0667     4.0000     6.0000     9.0000    44.0000     0.0000
 1.600 0.180     7.5232     0.0743     4.0000     6.0000    10.0000    64.0000     0.0000
 1.600 0.160     8.6354     0.0931     4.0000     7.0000    11.0000    90.0000     0.0000
 1.600 0.140    10.4148     0.1150     5.0000     8.0000    14.0000    96.0000     0.0000
 1.600 0.120    12.4742     0.1421     6.0000    10.0000    16.0000    92.0000     0.0000
 1.600 0.100    16.2394     0.1931     7.0000    13.0000    21.0000   162.0000     0.0000
 1.600 0.080    22.1766     0.2762     8.0000    16.0000    30.0000   167.0000     0.0000
 1.600 0.060    33.8198     0.4323    12.0000    25.0000    46.0000   437.0000     0.0000
 1.600 0.040    59.8166     0.7459    21.0000    45.0000    82.0000   393.0000     0.0000
 1.600 0.020   127.2954     1.5477    45.0000    99.0000   180.0000   786.0000     0.0000
 1.400 0.200     8.1398     0.0795     4.0000     7.0000    10.0000    60.0000     0.0000
