Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.600 0.160   105.3250     0.9603    54.0000    95.0000   145.0000   454.0000     0.0000
 0.600 0.140   115.4578     1.0037    62.0000   105.0000   160.0000   463.0000     0.0000
 0.600 0.120   125.4756     1.1026    65.0000   116.0000   174.0000   468.0000     0.0000
 0.600 0.100   139.5208     1.2258    74.0000   128.0000   191.0000   536.0000     0.0000
 0.600 0.080   155.3492     1.3886    80.0000   142.0000   215.0000   664.0000     0.0000
 0.600 0.060   172.0452     1.5102    89.0000   158.0000   240.0000   690.0000     0.0000
 0.600 0.040   186.9458     1.6426    97.0000   171.0000   258.0000   766.0000     0.0000
 0.600 0.020   197.3416     1.7556   104.0000   180.0000   272.0000   963.0000     0.0000
 0.400 0.200   135.3984     1.1684    72.0000   125.0000   186.0000   519.0000     0.0000
 0.400 0.180   143.1122     1.2740    73.0000   131.0000   199.0000   541.0000     0.0000
 0.400 0.160   150.9444     1.3350    79.0000   137.0000   210.0000   602.0000     0.0000
 0.400 0.140   158.9326     1.3997    84.0000   147.0000   217.0000   660.0000     0.0000
 0.400 0.120   166.0832     1.4812    87.0000   150.0000   231.0000   796.0000     0.0000
 0.400 0.100   173.8922     1.5325    91.0000   158.0000   241.0000   698.0000     0.0000
 0.400 0.080   182.6040     1.6414    95.0000   166.0000   253.0000   726.0000     0.0000
 0.400 0.060   188.6136     1.6599    98.0000   174.0000   262.0000   733.0000     0.0000
 0.400 0.040   196.0726     1.7422   101.0000   179.0000   269.0000   848.0000     0.0000
 0.400 0.020   200.0286     1.8295   103.0000   181.0000   273.0000   876.0000     0.0000
 0.200 0.200   182.2954     1.5896    95.0000   167.0000   249.0000   836.0000     0.0000
 0.200 0.180   185.9026     1.6312    97.0000   171.0000   256.0000   797.0000     0.0000
 0.200 0.160   185.2678     1.6535    96.0000   169.0000   257.0000   736.0000     0.0000
 0.200 0.140   190.2936     1.6754    98.0000   174.0000   262.0000   741.0000     0.0000
 0.200 0.120   191.8318     1.7025    99.0000   176.0000   267.0000   759.0000     0.0000
 0.200 0.100   195.1008     1.7437   100.0000   176.0000   271.0000   696.0000     0.0000
 0.200 0.080   194.5026     1.7634    99.0000   174.0000   269.0000   774.0000     0.0000
 0.200 0.060   194.5972     1.7743    99.0000   173.0000   272.0000   906.0000     0.0000
 0.200 0.040   196.0338     1.7566   100.0000   180.0000   272.0000   892.0000     0.0000
 0.200 0.020   197.9564     1.7683   103.0000   183.0000   273.0000   832.0000     0.0000
