Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200    27.0492     0.2409    14.0000    25.0000    37.0000   117.0000     0.0000
 2.000 0.180    29.8926     0.2630    16.0000    27.0000    41.0000   122.0000     0.0000
 2.000 0.160    33.7192     0.2928    18.0000    31.0000    46.0000   138.0000     0.0000
 2.000 0.140    39.1522     0.3269    22.0000    36.0000    54.0000   171.0000     0.0000
 2.000 0.120    44.5646     0.3773    25.0000    41.0000    60.0000   196.0000     0.0000
 2.000 0.100    54.0410     0.4484    31.0000    50.0000    73.0000   216.0000     0.0000
 2.000 0.080    67.1378     0.5490    38.0000    62.0000    90.0000   282.0000     0.0000
 2.000 0.060    86.7928     0.7122    49.0000    81.0000   117.0000   327.0000     0.0000
 2.000 0.040   120.5024     0.9793    68.0000   111.0000   163.0000   452.0000     0.0000
 2.000 0.020   169.5824     1.3286    98.0000   159.0000   229.0000   570.0000     0.0000
 1.800 0.200    34.3268     0.2868    19.0000    31.0000    47.0000   149.0000     0.0000
 1.800 0.180    37.1238     0.3082    21.0000    35.0000    50.0000   153.0000     0.0000
 1.800 0.160    42.2866     0.3563    23.0000    39.0000    58.0000   171.0000     0.0000
 1.800 0.140    46.6532     0.3874    26.0000    43.0000    63.0000   176.0000     0.0000
 1.800 0.120    54.4720     0.4437    31.0000    50.0000    74.0000   196.0000     0.0000
 1.800 0.100    64.8000     0.5223    38.0000    60.0000    87.0000   244.0000     0.0000
 1.800 0.080    78.4094     0.6147    46.0000    74.0000   105.0000   284.0000     0.0000
 1.800 0.060    99.5468     0.7932    58.0000    93.0000   134.0000   363.0000     0.0000
 1.800 0.040   132.6822     1.0347    77.0000   125.0000   179.0000   493.0000     0.0000
 1.800 0.020   178.8642     1.3535   107.0000   169.0000   242.0000   591.0000     0.0000
 1.600 0.200    43.5416     0.3478    25.0000    41.0000    59.0000   163.0000     0.0000
 1.600 0.180    47.0010     0.3744    27.0000    44.0000    64.0000   184.0000     0.0000
 1.600 0.160    52.9130     0.4166    31.0000    50.0000    71.0000   181.0000     0.0000
 1.600 0.140    58.4172     0.4561    34.0000    55.0000    79.0000   224.0000     0.0000
 1.600 0.120    67.7692     0.5364    40.0000    63.0000    92.0000   256.0000     0.0000
 1.600 0.100    79.1082     0.6196    46.0000    76.0000   106.0000   327.0000     0.0000
 1.600 0.080    93.2064     0.7258    55.0000    88.0000   125.0000   355.0000     0.0000
 1.600 0.060   115.1850     0.8785    68.0000   109.0000   154.0000   461.0000     0.0000
 1.600 0.040   147.0026     1.1306    87.0000   140.0000   198.0000   490.0000     0.0000
 1.600 0.020   185.2008     1.3932   111.0000   178.0000   250.0000   604.0000     0.0000
 1.400 0.200    54.7526     0.4248    32.0000    51.0000    73.0000   198.0000     0.0000
 1.400 0.180    59.5830     0.4586    35.0000    56.0000    80.0000   220.0000     0.0000
 1.400 0.160    66.7720     0.5104    40.0000    63.0000    90.0000   257.0000     0.0000
 1.400 0.140    72.5286     0.5582    43.0000    70.0000    98.0000   275.0000     0.0000
 1.400 0.120    82.4102     0.6232    50.0000    78.0000   111.0000   271.0000     0.0000
 1.400 0.100    95.1038     0.7168    58.0000    91.0000   127.0000   338.0000     0.0000
 1.400 0.080   109.9378     0.8443    64.0000   106.0000   149.0000   350.0000     0.0000
 1.400 0.060   131.3184     0.9685    79.0000   125.0000   177.0000   436.0000     0.0000
 1.400 0.040   160.0090     1.2018    97.0000   152.0000   217.0000   486.0000     0.0000
 1.400 0.020   187.9410     1.4104   116.0000   180.0000   252.0000   641.0000     0.0000
 1.200 0.200    70.1978     0.5276    42.0000    67.0000    94.0000   252.0000     0.0000
 1.200 0.180    76.1370     0.5692    46.0000    71.0000   102.0000   252.0000     0.0000
 1.200 0.160    82.9766     0.6187    50.0000    79.0000   110.0000   302.0000     0.0000
 1.200 0.140    90.9476     0.6805    54.0000    87.0000   122.0000   320.0000     0.0000
 1.200 0.120   100.3548     0.7425    62.0000    96.0000   133.0000   335.0000     0.0000
 1.200 0.100   114.3826     0.8447    69.0000   109.0000   153.0000   333.0000     0.0000
 1.200 0.080   132.1594     0.9870    80.0000   126.0000   178.0000   459.0000     0.0000
 1.200 0.060   148.1210     1.1135    90.0000   142.0000   198.0000   540.0000     0.0000
