Amp  ARL  Std  Q1  Med  Q3  Max
10.000    14.9160     0.3386     4.0000     7.0000    15.0000   332.0000     0.0000
 9.500    16.1764     0.3753     4.0000     8.0000    16.0000   600.0000     0.0000
 9.000    16.7940     0.3985     5.0000     8.0000    17.0000   871.0000     0.0000
 8.500    17.8268     0.3819     5.0000     9.0000    18.0000   526.0000     0.0000
 8.000    18.4746     0.4042     5.0000     9.0000    20.0000   583.0000     0.0000
 7.500    20.1036     0.4066     6.0000    11.0000    21.0000   407.0000     0.0000
 7.000    21.1576     0.4332     6.0000    11.0000    23.0000   550.0000     0.0000
 6.500    22.5248     0.4323     7.0000    12.0000    25.0000   358.0000     0.0000
 6.000    23.6878     0.4404     7.0000    13.0000    27.0000   381.0000     0.0000
 5.500    26.6066     0.4723     8.0000    15.0000    32.0000   344.0000     0.0000
 5.000    29.2350     0.5051     9.0000    18.0000    35.0000   431.0000     0.0000
 4.500    33.1118     0.5581    10.0000    20.0000    41.0000   476.0000     0.0000
 4.000    38.1010     0.6322    12.0000    24.0000    47.0000   538.0000     0.0000
 3.500    43.8188     0.6854    15.0000    29.0000    56.0000   722.0000     0.0000
 3.000    56.2648     0.8445    19.0000    37.0000    72.0000   641.0000     0.0000
 2.500    70.2796     1.0227    23.0000    48.0000    92.0000   773.0000     0.0000
 2.000    92.8252     1.3201    31.0000    65.0000   123.0000  1094.0000     0.0000
 1.500   138.6584     1.9345    44.0000    95.0000   190.0000  1291.0000     0.0000
 1.000   183.2220     2.6081    53.0000   126.0000   250.0000  1638.0000     0.0000
 0.500   204.1736     2.9417    58.0000   139.0000   284.0000  2000.0000     0.0000
