Amp  ARL  Std  Q1  Med  Q3  Max
10.000    12.3172     0.2662     4.0000     7.0000    13.0000   372.0000     0.0000
 9.500    12.1740     0.2519     4.0000     7.0000    13.0000   308.0000     0.0000
 9.000    13.1376     0.2918     4.0000     8.0000    14.0000   434.0000     0.0000
 8.500    13.9518     0.3205     4.0000     8.0000    15.0000   773.0000     0.0000
 8.000    14.0182     0.2704     5.0000     9.0000    15.0000   280.0000     0.0000
 7.500    15.2952     0.3199     5.0000     9.0000    16.0000   354.0000     0.0000
 7.000    16.2710     0.3413     5.0000    10.0000    17.0000   364.0000     0.0000
 6.500    17.2350     0.3602     5.0000    10.0000    18.0000   650.0000     0.0000
 6.000    18.9540     0.3680     6.0000    12.0000    21.0000   420.0000     0.0000
 5.500    20.4180     0.3842     7.0000    13.0000    22.0000   325.0000     0.0000
 5.000    22.9028     0.4493     7.0000    14.0000    25.0000   512.0000     0.0000
 4.500    25.4276     0.4498     8.0000    16.0000    30.0000   445.0000     0.0000
 4.000    30.0902     0.5272    10.0000    19.0000    36.0000   500.0000     0.0000
 3.500    35.6614     0.6307    11.0000    22.0000    42.0000   638.0000     0.0000
 3.000    43.0666     0.7220    14.0000    27.0000    52.0000   593.0000     0.0000
 2.500    53.9056     0.8582    17.0000    35.0000    68.0000   679.0000     0.0000
 2.000    73.0032     1.1570    23.0000    47.0000    93.0000   965.0000     0.0000
 1.500    99.5100     1.4556    31.0000    66.0000   135.0000  1438.0000     0.0000
 1.000   145.9682     2.1219    41.0000   101.0000   202.0000  1594.0000     0.0000
 0.500   197.3752     2.8394    55.0000   134.0000   273.0000  1707.0000     0.0000
