Amp  ARL  Std  Q1  Med  Q3  Max
10.000    14.9330     0.3354     4.0000     7.0000    15.0000   394.0000     0.0000
 9.500    16.3360     0.3827     4.0000     8.0000    16.0000   523.0000     0.0000
 9.000    16.9234     0.3758     4.0000     8.0000    17.0000   337.0000     0.0000
 8.500    17.3486     0.3863     5.0000     9.0000    18.0000   416.0000     0.0000
 8.000    18.8604     0.4089     5.0000     9.0000    19.0000   460.0000     0.0000
 7.500    20.0730     0.4105     5.0000    10.0000    22.0000   395.0000     0.0000
 7.000    21.2906     0.4540     6.0000    11.0000    23.0000   499.0000     0.0000
 6.500    22.8932     0.4591     6.0000    12.0000    26.0000   397.0000     0.0000
 6.000    25.2530     0.5056     7.0000    13.0000    28.0000   470.0000     0.0000
 5.500    26.2472     0.5137     7.0000    14.0000    30.0000   594.0000     0.0000
 5.000    28.4298     0.5140     9.0000    16.0000    34.0000   418.0000     0.0000
 4.500    32.2662     0.6162     9.0000    18.0000    38.0000   691.0000     0.0000
 4.000    37.1534     0.6785    11.0000    22.0000    45.0000   627.0000     0.0000
 3.500    42.4686     0.6868    14.0000    26.0000    54.0000   556.0000     0.0000
 3.000    49.9136     0.7895    16.0000    32.0000    64.0000   583.0000     0.0000
 2.500    66.8932     1.0131    22.0000    43.0000    85.0000   682.0000     0.0000
 2.000    87.6636     1.2991    28.0000    60.0000   115.0000  1126.0000     0.0000
 1.500   121.6576     1.6578    40.0000    86.0000   165.0000  1233.0000     0.0000
 1.000   167.3814     2.3152    49.0000   117.0000   232.0000  1143.0000     0.0000
 0.500   193.1992     2.7570    55.0000   134.0000   266.0000  1485.0000     0.0000
