Amp  ARL  Std  Q1  Med  Q3  Max
10.000    13.3702     0.3375     4.0000     7.0000    12.0000   479.0000     0.0000
 9.500    13.9890     0.3368     4.0000     7.0000    13.0000   455.0000     0.0000
 9.000    14.3374     0.3394     4.0000     7.0000    13.0000   348.0000     0.0000
 8.500    15.8626     0.3957     4.0000     8.0000    15.0000   562.0000     0.0000
 8.000    16.0354     0.3582     5.0000     8.0000    16.0000   533.0000     0.0000
 7.500    17.2328     0.4184     5.0000     9.0000    16.0000   591.0000     0.0000
 7.000    18.0078     0.4115     5.0000    10.0000    18.0000   449.0000     0.0000
 6.500    18.7604     0.3924     6.0000    10.0000    19.0000   433.0000     0.0000
 6.000    21.4526     0.4929     6.0000    11.0000    22.0000   488.0000     0.0000
 5.500    22.6760     0.4594     7.0000    12.0000    24.0000   426.0000     0.0000
 5.000    24.7080     0.4886     7.0000    14.0000    27.0000   496.0000     0.0000
 4.500    27.2136     0.5180     8.0000    16.0000    30.0000   457.0000     0.0000
 4.000    30.4258     0.5493     9.0000    18.0000    35.0000   423.0000     0.0000
 3.500    36.5294     0.6562    11.0000    22.0000    43.0000   540.0000     0.0000
 3.000    41.7486     0.6793    13.0000    26.0000    51.0000   553.0000     0.0000
 2.500    53.6392     0.8379    17.0000    35.0000    68.0000   884.0000     0.0000
 2.000    71.0800     1.0717    22.0000    46.0000    93.0000   966.0000     0.0000
 1.500   100.5032     1.4611    31.0000    69.0000   136.0000  1757.0000     0.0000
 1.000   148.3600     2.1303    44.0000    99.0000   201.0000  1409.0000     0.0000
 0.500   186.5578     2.5517    56.0000   133.0000   261.0000  1636.0000     0.0000
