Amp  ARL  Std  Q1  Med  Q3  Max
10.000    11.0078     0.2497     4.0000     6.0000    10.0000   373.0000     0.0000
 9.500    12.1516     0.2748     4.0000     7.0000    11.0000   284.0000     0.0000
 9.000    12.1748     0.2587     4.0000     7.0000    12.0000   322.0000     0.0000
 8.500    13.1668     0.2934     4.0000     7.0000    13.0000   351.0000     0.0000
 8.000    13.5804     0.2697     5.0000     8.0000    14.0000   255.0000     0.0000
 7.500    14.4526     0.2965     5.0000     8.0000    14.0000   323.0000     0.0000
 7.000    15.8958     0.3298     5.0000     9.0000    16.0000   409.0000     0.0000
 6.500    17.3150     0.3632     6.0000    10.0000    18.0000   478.0000     0.0000
 6.000    18.6350     0.3686     7.0000    11.0000    20.0000   393.0000     0.0000
 5.500    20.7498     0.3847     7.0000    13.0000    23.0000   474.0000     0.0000
 5.000    23.1836     0.4592     8.0000    14.0000    25.0000   869.0000     0.0000
 4.500    26.8598     0.4645     9.0000    17.0000    31.0000   464.0000     0.0000
 4.000    30.0862     0.5289    11.0000    19.0000    35.0000   806.0000     0.0000
 3.500    37.7614     0.6142    14.0000    25.0000    46.0000   567.0000     0.0000
 3.000    48.2710     0.7856    16.0000    31.0000    59.0000   618.0000     0.0000
 2.500    61.2106     0.9288    21.0000    41.0000    78.0000  1049.0000     0.0000
 2.000    89.1570     1.2703    30.0000    61.0000   120.0000   890.0000     0.0000
 1.500   128.8570     1.8091    41.0000    90.0000   174.0000  1709.0000     0.0000
 1.000   183.1094     2.6558    54.0000   124.0000   248.0000  1929.0000     0.0000
 0.500   200.4478     2.8765    57.0000   141.0000   277.0000  2000.0000     0.0000
