Amp  ARL  Std  Q1  Med  Q3  Max
10.000    14.7850     0.3161     4.0000     8.0000    16.0000   331.0000     0.0000
 9.500    15.0940     0.3229     4.0000     8.0000    16.0000   366.0000     0.0000
 9.000    17.0174     0.3653     5.0000     9.0000    18.0000   390.0000     0.0000
 8.500    17.1396     0.3381     5.0000     9.0000    18.0000   332.0000     0.0000
 8.000    18.0216     0.3746     5.0000    10.0000    20.0000   502.0000     0.0000
 7.500    18.8026     0.3750     6.0000    10.0000    21.0000   456.0000     0.0000
 7.000    20.4154     0.3742     6.0000    12.0000    24.0000   532.0000     0.0000
 6.500    23.0038     0.4259     7.0000    13.0000    27.0000   575.0000     0.0000
 6.000    24.3218     0.4279     8.0000    14.0000    29.0000   514.0000     0.0000
 5.500    27.2880     0.4951     9.0000    16.0000    32.0000   587.0000     0.0000
 5.000    30.9978     0.5059    10.0000    19.0000    38.0000   490.0000     0.0000
 4.500    34.6614     0.5741    12.0000    22.0000    42.0000   449.0000     0.0000
 4.000    39.6020     0.6251    13.0000    25.0000    49.0000   554.0000     0.0000
 3.500    48.0656     0.7191    17.0000    32.0000    61.0000   757.0000     0.0000
 3.000    60.2780     0.8420    21.0000    42.0000    80.0000   861.0000     0.0000
 2.500    75.5490     1.0274    27.0000    53.0000   101.0000   768.0000     0.0000
 2.000   107.3868     1.5631    36.0000    74.0000   141.0000  1647.0000     0.0000
 1.500   151.4398     2.0653    49.0000   107.0000   210.0000  1142.0000     0.0000
 1.000   187.5254     2.7526    53.0000   125.0000   256.0000  1669.0000     0.0000
 0.500   195.8002     2.7490    58.0000   135.0000   272.0000  1614.0000     0.0000
