Amp  ARL  Std  Q1  Med  Q3  Max
10.000    14.1364     0.3157     4.0000     8.0000    15.0000   415.0000     0.0000
 9.500    14.7844     0.3048     4.0000     9.0000    16.0000   331.0000     0.0000
 9.000    15.4270     0.3383     5.0000     9.0000    16.0000   391.0000     0.0000
 8.500    15.7554     0.3170     5.0000     9.0000    17.0000   298.0000     0.0000
 8.000    16.4940     0.3275     5.0000    10.0000    18.0000   362.0000     0.0000
 7.500    16.9802     0.3446     5.0000    10.0000    19.0000   441.0000     0.0000
 7.000    18.4562     0.3694     5.0000    11.0000    20.0000   389.0000     0.0000
 6.500    20.8268     0.4390     6.0000    12.0000    22.0000   435.0000     0.0000
 6.000    21.0916     0.4045     7.0000    13.0000    23.0000   421.0000     0.0000
 5.500    23.4492     0.4748     7.0000    14.0000    26.0000   561.0000     0.0000
 5.000    25.8772     0.4889     8.0000    15.0000    30.0000   716.0000     0.0000
 4.500    29.1550     0.5513     9.0000    17.0000    34.0000   701.0000     0.0000
 4.000    33.8678     0.6118     9.0000    20.0000    40.0000   644.0000     0.0000
 3.500    38.3050     0.6591    12.0000    24.0000    46.0000   586.0000     0.0000
 3.000    46.1176     0.7951    13.0000    28.0000    57.0000   716.0000     0.0000
 2.500    54.9002     0.9061    17.0000    35.0000    68.0000  1009.0000     0.0000
 2.000    70.5774     1.0911    21.0000    47.0000    92.0000   872.0000     0.0000
 1.500    97.3262     1.4448    30.0000    65.0000   128.0000   991.0000     0.0000
 1.000   138.8742     1.9660    42.0000    96.0000   190.0000  1143.0000     0.0000
 0.500   194.7702     2.7617    56.0000   138.0000   269.0000  1676.0000     0.0000
