Amp  ARL  Std  Q1  Med  Q3  Max
10.000    11.8294     0.2734     4.0000     6.0000    11.0000   282.0000     0.0000
 9.500    12.3424     0.2776     4.0000     7.0000    12.0000   371.0000     0.0000
 9.000    13.2490     0.3397     4.0000     7.0000    12.0000   723.0000     0.0000
 8.500    14.0970     0.3525     4.0000     7.0000    13.0000   710.0000     0.0000
 8.000    14.8436     0.3516     5.0000     8.0000    14.0000   374.0000     0.0000
 7.500    14.8542     0.3117     5.0000     8.0000    15.0000   276.0000     0.0000
 7.000    16.0402     0.3677     5.0000     9.0000    16.0000   481.0000     0.0000
 6.500    17.4114     0.3629     6.0000    10.0000    17.0000   351.0000     0.0000
 6.000    19.4180     0.4050     6.0000    11.0000    20.0000   504.0000     0.0000
 5.500    20.8058     0.4231     7.0000    12.0000    22.0000   558.0000     0.0000
 5.000    23.7640     0.4589     8.0000    14.0000    26.0000   421.0000     0.0000
 4.500    25.6278     0.4835     8.0000    15.0000    28.0000   696.0000     0.0000
 4.000    29.5376     0.5041    10.0000    18.0000    35.0000   438.0000     0.0000
 3.500    35.2040     0.5955    11.0000    22.0000    42.0000   549.0000     0.0000
 3.000    42.5932     0.6813    14.0000    28.0000    53.0000   568.0000     0.0000
 2.500    55.0182     0.8703    18.0000    36.0000    68.0000   633.0000     0.0000
 2.000    74.5120     1.1011    25.0000    49.0000    97.0000   845.0000     0.0000
 1.500   111.0204     1.6119    35.0000    75.0000   149.0000  1232.0000     0.0000
 1.000   161.6036     2.2455    49.0000   115.0000   225.0000  1319.0000     0.0000
 0.500   193.3274     2.7977    54.0000   132.0000   264.0000  2000.0000     0.0000
