Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    37.1076     0.4778    13.0000    28.0000    51.0000   360.0000
 1.900 0.050    37.8058     0.4928    13.0000    29.0000    52.0000   284.0000
 1.800 0.050    41.1188     0.5442    14.0000    31.0000    56.0000   345.0000
 1.700 0.050    43.6996     0.5819    14.0000    32.0000    59.0000   417.0000
 1.600 0.050    45.7742     0.6234    15.0000    34.0000    62.0000   588.0000
 1.500 0.050    48.0494     0.6360    16.0000    35.0000    65.0000   421.0000
 1.400 0.050    52.3668     0.7089    17.0000    37.0000    72.0000   441.0000
 1.300 0.050    56.6150     0.7901    17.0000    40.0000    78.0000   562.0000
 1.200 0.050    61.3330     0.8331    19.0000    43.0000    84.0000   601.0000
 1.100 0.050    66.7284     0.8966    22.0000    47.0000    92.0000   583.0000
 1.000 0.050    72.6988     0.9914    23.0000    51.0000   101.0000   617.0000
 0.900 0.050    79.7508     1.1195    25.0000    55.0000   108.0000   827.0000
 0.800 0.050    86.1980     1.2065    27.0000    60.0000   118.0000   906.0000
 0.700 0.050    95.8024     1.3516    29.0000    67.0000   131.0000  1062.0000
 0.600 0.050   108.1482     1.4678    34.0000    79.0000   150.0000   937.0000
 0.500 0.050   121.9214     1.7000    38.0000    85.0000   166.0000  1029.0000
 0.400 0.050   141.3468     1.9312    43.0000   100.0000   194.0000   978.0000
 0.300 0.050   163.9606     2.2958    49.0000   116.0000   224.0000  1603.0000
 0.200 0.050   189.9152     2.6900    54.0000   131.0000   261.0000  1523.0000
 0.100 0.050   199.5562     2.8190    55.0000   140.0000   279.0000  1637.0000
