Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    30.4646     0.3836    11.0000    23.0000    41.0000   237.0000
 1.900 0.050    31.0724     0.4000    11.0000    23.0000    42.0000   262.0000
 1.800 0.050    33.1498     0.4250    12.0000    25.0000    46.0000   271.0000
 1.700 0.050    36.0544     0.4703    12.0000    27.0000    48.0000   283.0000
 1.600 0.050    38.1026     0.5162    12.0000    28.0000    52.0000   345.0000
 1.500 0.050    42.4164     0.5651    14.0000    30.0000    58.0000   359.0000
 1.400 0.050    46.4684     0.6263    15.0000    34.0000    63.0000   516.0000
 1.300 0.050    48.5202     0.6541    15.0000    35.0000    66.0000   590.0000
 1.200 0.050    54.6502     0.7559    17.0000    38.0000    74.0000   501.0000
 1.100 0.050    60.8082     0.8315    19.0000    42.0000    84.0000   615.0000
 1.000 0.050    68.4432     0.9515    21.0000    48.0000    95.0000   541.0000
 0.900 0.050    74.5204     1.0323    23.0000    53.0000   102.0000   693.0000
 0.800 0.050    82.5816     1.1445    25.0000    57.0000   113.0000   656.0000
 0.700 0.050    93.2666     1.3110    29.0000    66.0000   128.0000   972.0000
 0.600 0.050   108.6378     1.5423    31.0000    75.0000   150.0000   876.0000
 0.500 0.050   121.3902     1.6858    36.0000    85.0000   167.0000  1006.0000
 0.400 0.050   147.2414     2.0674    43.0000   104.0000   200.0000  1879.0000
 0.300 0.050   173.8794     2.4885    51.0000   120.0000   239.0000  1491.0000
 0.200 0.050   190.2514     2.7182    54.0000   128.0000   263.0000  1474.0000
 0.100 0.050   198.2628     2.8332    59.0000   134.0000   272.0000  1723.0000
