Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.1898     0.0301     3.0000     4.0000     5.0000    25.0000
 1.900 0.200     4.5058     0.0325     3.0000     4.0000     6.0000    27.0000
 1.800 0.200     4.9152     0.0366     3.0000     5.0000     6.0000    38.0000
 1.700 0.200     5.3858     0.0400     3.0000     5.0000     7.0000    30.0000
 1.600 0.200     5.9132     0.0449     4.0000     5.0000     7.0000    47.0000
 1.500 0.200     6.5582     0.0511     4.0000     6.0000     8.0000    38.0000
 1.400 0.200     7.2638     0.0553     4.0000     7.0000     9.0000    34.0000
 1.300 0.200     8.3998     0.0663     5.0000     8.0000    11.0000    44.0000
 1.200 0.200     9.4262     0.0740     6.0000     9.0000    12.0000    44.0000
 1.100 0.200    10.9918     0.0927     6.0000    10.0000    14.0000    54.0000
 1.000 0.200    12.9710     0.1108     7.0000    12.0000    17.0000    85.0000
 0.900 0.200    15.6472     0.1366     9.0000    14.0000    20.0000    88.0000
 0.800 0.200    19.4026     0.1809    10.0000    17.0000    25.0000   110.0000
 0.700 0.200    24.7466     0.2608    12.0000    21.0000    32.0000   215.0000
 0.600 0.200    35.2576     0.3967    16.0000    28.0000    47.0000   286.0000
 0.500 0.200    51.4486     0.6196    21.0000    40.0000    70.0000   392.0000
 0.400 0.200    80.3410     1.0662    28.0000    59.0000   108.0000   723.0000
 0.300 0.200   121.7876     1.6877    37.0000    87.0000   165.0000  1033.0000
 0.200 0.200   160.9628     2.3475    45.0000   107.0000   224.0000  1666.0000
 0.100 0.200   185.2250     2.5710    55.0000   131.0000   257.0000  1401.0000
