Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    45.8502     0.5974    15.0000    35.0000    64.0000   428.0000
 1.900 0.050    47.6100     0.6170    16.0000    36.0000    66.0000   403.0000
 1.800 0.050    49.0430     0.6558    16.0000    36.0000    68.0000   454.0000
 1.700 0.050    53.7558     0.7216    17.0000    39.0000    73.0000   413.0000
 1.600 0.050    54.7552     0.7422    18.0000    41.0000    74.0000   618.0000
 1.500 0.050    58.2676     0.8212    18.0000    41.0000    80.0000   474.0000
 1.400 0.050    61.7754     0.8501    19.0000    44.0000    84.0000   521.0000
 1.300 0.050    67.0836     0.9299    21.0000    48.0000    92.0000   643.0000
 1.200 0.050    68.3210     0.9616    21.0000    48.0000    92.0000   768.0000
 1.100 0.050    75.0486     1.0141    24.0000    54.0000   102.0000   632.0000
 1.000 0.050    79.9848     1.1062    25.0000    58.0000   108.0000   597.0000
 0.900 0.050    86.6100     1.2029    26.0000    61.0000   119.0000   749.0000
 0.800 0.050    94.5824     1.3273    28.0000    66.0000   133.0000   890.0000
 0.700 0.050   103.1404     1.4426    32.0000    73.0000   141.0000   833.0000
 0.600 0.050   115.8618     1.6556    34.0000    80.0000   161.0000  1602.0000
 0.500 0.050   124.2642     1.7225    38.0000    88.0000   171.0000  1157.0000
 0.400 0.050   142.1408     2.0176    43.0000    98.0000   193.0000  1047.0000
 0.300 0.050   165.3828     2.3195    51.0000   114.0000   228.0000  1432.0000
 0.200 0.050   182.3700     2.5840    52.0000   126.0000   254.0000  1425.0000
 0.100 0.050   195.5546     2.7976    58.0000   134.0000   271.0000  1969.0000
