Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     8.0864     0.0827     4.0000     7.0000    11.0000    64.0000
 1.900 0.100     8.4386     0.0888     4.0000     7.0000    11.0000    85.0000
 1.800 0.100     9.0274     0.0952     4.0000     7.0000    12.0000    93.0000
 1.700 0.100     9.6404     0.1027     5.0000     8.0000    12.0000    67.0000
 1.600 0.100    10.4904     0.1119     5.0000     9.0000    14.0000   104.0000
 1.500 0.100    11.1368     0.1221     5.0000     9.0000    14.0000    94.0000
 1.400 0.100    12.2888     0.1350     6.0000    10.0000    16.0000   198.0000
 1.300 0.100    13.7036     0.1529     6.0000    11.0000    18.0000   171.0000
 1.200 0.100    15.5766     0.1826     7.0000    12.0000    20.0000   140.0000
 1.100 0.100    17.7542     0.2065     8.0000    14.0000    23.0000   179.0000
 1.000 0.100    20.6168     0.2312     9.0000    16.0000    27.0000   140.0000
 0.900 0.100    24.1574     0.2857    10.0000    18.0000    32.0000   159.0000
 0.800 0.100    28.8732     0.3465    12.0000    22.0000    38.0000   260.0000
 0.700 0.100    35.8358     0.4462    14.0000    27.0000    47.0000   307.0000
 0.600 0.100    46.6512     0.5772    18.0000    35.0000    63.0000   356.0000
 0.500 0.100    64.1568     0.8283    23.0000    47.0000    86.0000   553.0000
 0.400 0.100    93.3132     1.2753    30.0000    66.0000   127.0000   919.0000
 0.300 0.100   137.4986     1.8993    42.0000    95.0000   190.0000  1076.0000
 0.200 0.100   177.3698     2.4779    53.0000   124.0000   246.0000  1347.0000
 0.100 0.100   191.8764     2.7081    53.0000   133.0000   267.0000  1626.0000
