Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.3022     0.0319     3.0000     4.0000     5.0000    41.0000
 1.900 0.200     4.5984     0.0359     3.0000     4.0000     6.0000    39.0000
 1.800 0.200     4.9262     0.0366     3.0000     4.0000     6.0000    33.0000
 1.700 0.200     5.2728     0.0395     3.0000     5.0000     7.0000    47.0000
 1.600 0.200     5.8654     0.0437     4.0000     5.0000     7.0000    35.0000
 1.500 0.200     6.3714     0.0493     4.0000     6.0000     8.0000    54.0000
 1.400 0.200     7.1464     0.0556     5.0000     6.0000     9.0000    60.0000
 1.300 0.200     7.9636     0.0645     5.0000     7.0000    10.0000    58.0000
 1.200 0.200     8.9964     0.0731     5.0000     8.0000    11.0000    50.0000
 1.100 0.200    10.3604     0.0849     6.0000     9.0000    13.0000    59.0000
 1.000 0.200    12.0058     0.1024     7.0000    11.0000    15.0000    89.0000
 0.900 0.200    14.4150     0.1255     8.0000    13.0000    19.0000    87.0000
 0.800 0.200    18.2360     0.1635    10.0000    16.0000    24.0000    93.0000
 0.700 0.200    22.9812     0.2213    12.0000    20.0000    30.0000   182.0000
 0.600 0.200    31.6172     0.3387    15.0000    26.0000    42.0000   271.0000
 0.500 0.200    46.5130     0.5432    19.0000    36.0000    63.0000   370.0000
 0.400 0.200    70.5688     0.9117    26.0000    51.0000    96.0000   616.0000
 0.300 0.200   110.8174     1.5217    35.0000    78.0000   152.0000   929.0000
 0.200 0.200   156.2660     2.1939    46.0000   108.0000   218.0000  1307.0000
 0.100 0.200   190.3308     2.6396    54.0000   133.0000   267.0000  1520.0000
