Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      4.275819      301.827800       2903.3160
      4.323674      373.639600       3599.3976
      4.299746      332.787600       3213.4404
      4.311710      356.126400       3434.4245
      4.317692      373.143200       3598.4377
      4.314701      360.919400       3480.6050
      4.316196      366.249400       3532.0563
      4.316944      360.975800       3485.8175
      4.317318      366.117000       3534.3846
      4.317505      362.793400       3501.4020
      4.317598      364.537800       3520.5164
      4.317645      351.849600       3393.2855
      4.317668      357.593800       3453.7937
      4.317680      360.898400       3481.9548
      4.317686      365.178400       3521.6634
      4.317689      363.286200       3501.6130
      4.317690      377.251000       3640.3767
      4.317690      357.713200       3447.2118
      4.317690      364.426600       3510.7401
      4.317690      362.433400       3490.6882
      4.317690      367.271200       3537.6793
 Final Limit:   4.31769021472954       ARL:   367.271200000000     
