Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      4.346713      387.213600       3677.1246
      4.316528      347.303800       3299.6597
      4.331621      381.595800       3628.8584
      4.324074      363.791200       3463.6243
      4.327848      358.396600       3412.8140
      4.329734      375.286400       3570.0096
      4.328791      365.579000       3487.7643
      4.329262      363.314000       3454.6289
      4.329498      376.372400       3581.6174
      4.329380      368.954200       3509.2712
 Final Limit:   4.32938036866681       ARL:   368.954200000000     
